name,publications,citations
Varanasi Coll Pharm,1,1
Clin Trials Registry India,1,0
ICMR Natl Inst Med Stat,1,0
Virol Unit,1,2
Div Epidemiol & Communicable Dis,1,2
Hlth Informat Ctr,1,1
Hepatitis Grp,1,0
Topiwalla Natl Med Coll,3,11
St Johns Med Coll,2,0
Seth Gordhandas Sunderdas Med Coll,3,0
King Edwards Med Hosp,1,0
Inst Postgrad Med Educ & Res,3,2
Med Coll Baroda,1,0
BJ Med Coll,3,2
Jawaharlal Inst Postgrad Educ & Res,1,0
WHO Country Off India,2,6
TKM Coll Engn,3,2
UKF Coll Engn & Technol,1,0
SCTIMST,2,38
Armed Forces Med Coll,3,2
ICMR Vector Control Res Ctr,2,30
Medipulse Hosp,1,0
Vasundhara Hosp & Infertil Ctr,1,0
Vardhman Mahavir Med Coll & Safdarjung Hosp,3,5
ICMR Natl Inst Res TB,4,35
Jan Swasthya Sahyog,2,38
Directorate Hlth Serv,2,35
ICMR Natl Inst Implementat Res Noncommunicable Di,2,35
ICMR Natl Inst Canc Prevent & Res,4,38
ICMR Natl AIDS Res Inst,4,132
ICMR Natl Inst Res Tribal Hlth,2,35
Natl TB Inst,2,35
State TB Training & Demonstrat Ctr,1,29
State TB Training & Demonstrat Ctr Ranchi,1,29
ICMR Natl Inst Nutr,6,67
ICMR Rajendra Mem Res Inst Med Sci,3,39
State TB Cell,1,29
Indian Inst Publ Hlth,2,73
Pimpri Chinchwad Municipal Corp,1,7
Sri Venkateswara Inst Med Sci,1,4
Apollo Hosp & Hlth City,1,1
Gleneagles Global Hosp LKP,1,1
Eras Lucknow Med Coll & Hosp,2,1
Pathkind Labs,1,2
Ctr Chron Dis Control,2,0
Madras Diabet Res Fdn,4,10
Malaviya Natl Inst Technol Jaipur,2,11
Malaviya Natl Inst Informat Technol,1,0
Jawahar Lal Nehru Univ,1,0
Univ Engn & Management,3,1
Indian Inst Space Sci & Technol,1,0
Qure Ai,1,0
Cent Electrochem Res Inst,1,1
Indian Inst Technol BHU,6,65
Dist Hlth Serv,1,0
Sree Chitra Tirunal Inst Med Sci & Technol,5,21
Govt Bikram Coll Commerce,1,3
KIET Grp Inst,4,3
Indian Inst Management Ranchi,1,0
Indian Inst Management Visakhapatnam,2,24
TA Pai Management Inst,1,0
Shanti Hosp & Res Ctr,1,0
Lady Hardinge Med Coll LHMC,1,0
McKinsey & Co Inc,1,1
Bundelkhand Univ,2,6
South Asia Int Food Policy Res Inst,1,1
IFPRI South Asia,1,1
Natl Inst Hlth & Family Welfare,1,0
JSS Med Coll,2,9
Univ Hort Sci,1,0
ICAR Indian Inst Hort Res Chettalli,1,0
Univ Agr Sci B,1,0
GRKIST,1,0
Jabalpur Engn Coll,1,0
Govt Tripura,1,1
KLEF,1,1
Bowring & Lady Curzon Hosp,1,6
Jawaharlal Nehru Hosp & Res Ctr,1,6
Scangene Labs Private Ltd,1,5
Bribal Sahni Inst Palaeosci,1,5
Ctr Mental Hlth Law & Policy,1,1
Pandit Deen Dayal Upadhayay Pashu Chikitsa Vigyan,5,100
Sri Krishnadevaraya Univ,2,2
Sri Guru Granth Sahib World Univ Fatehgarh Sahib,1,1
Kalinga Inst Ind Technol KIIT DU,1,2
Munger Univ,2,8
Indian Inst Trop Meteorol,5,22
Hygia Inst Pharmaceut Educ & Res,1,0
Seemanta Inst Pharmaceut Sci,1,0
ShriVenkateshwara Univ,1,0
Bimal Chandra Coll Law,1,3
Noor Enzymes Private Ltd,1,4
Novel Techsci OPC Private Ltd,1,4
BKL Walalwalkar Rural Med Coll,1,7
Birla Inst Technol & Sci Pilani,7,34
Manipal Coll Pharmaceut Sci MCOPS,1,3
Natl Inst Biomed Genom,5,54
GBPUAT,1,6
Jawaharlal Nehru Inst Med Sci,2,6
Sher e Kashmir Univ Agr Sci & Technol Kashmir,1,6
Tripura Univ,3,9
Clonegene Biosyst,1,3
MICA Sch Ideas,1,3
JIPMER,6,46
Redcliffe Life Sci Pvt Ltd,1,2
Govt MP,1,2
Takshashila Inst,1,1
Trilegal,2,1
Stem Plus Fdn,1,2
Jawaharlal Nehru Med Coll AMU,1,0
Aryabhatta Res Inst Observat Sci,3,5
Indian Inst Astrophys,1,4
JK Med Coll & LN Hosp,2,0
MVPs Dr VP Med Coll & Hosp & Res Ctr,2,0
Geol Survey India,1,3
Karnatak Univ Dharwad,1,2
Guru Nanak Inst Pharmaceut Sci & Technol,1,1
Ozone Forum India,1,0
Clin Dept,1,0
Lokmanya Med Res Ctr,1,0
Integrated Canc Treatment & Res Ctr,1,0
Indian Acad Sci Writing & Res,1,0
Forest Res Inst,2,6
Minist Agr & Farmers Welf,1,3
Inst Chem Technol,8,28
Sir JJ Grp Hosp,1,2
Visicare Eye Ctr,1,2
Kalpana Chawla Govt Med Coll & Hosp,1,2
Prime Vis Superspecial Eye Care,1,0
LV Prasad Eye Inst LVPEI,1,1
Sitapur Eye Hosp,1,0
Asian Dev Res Inst ADRI,2,38
SASTRA Deemed Be Univ,1,2
Kempegowda Inst Med Sci,3,0
GMERS Med Coll,1,11
Shalom Inst Hlth & Allied Sci SHUATS,1,16
Savitri Bai Phule Balika Inter Coll,1,9
Chettinad Acad Res & Educ,2,4
Ctr AIDS & Res Educ,1,4
Indian Council Med Res Hqrs,1,7
BCDA Coll Pharmaceut Technol,1,6
Immunocure Discovery Solut Pvt Ltd,1,6
Natl Acad Med Sci India,2,6
Mother & Child Hosp,1,3
Dr Patils Fertil & Endoscopy Clin,1,3
Hosp Inst Med Sci,1,3
Govt West Bengal,1,0
Cent Univ South,1,1
World Hlth Org Country Off India,1,6
AMET Univ,2,3
Bishop Heber Coll,2,3
Bonsecours Coll Women,1,2
Venous Assoc India VAI,1,0
Mahatma Gandhi Acad Human Dev,1,2
Bharati Vidyapeeth Coll Pharm,1,3
SRTM Univ,1,3
Aura Skin Inst,1,16
Deen Dayal Upadhyaya Coll,1,5
Delhi Univ,5,53
North DMC Med Coll,1,56
ICAR Natl Inst High Secur Anim Dis,3,52
Coll Med & Sagore Dutta Hosp,1,13
Calcutta Natl Med Coll & Hosp,1,13
Wysa,1,11
Saheed Hasan Khan Mewati Govt Med Coll & Hosp,1,10
Sri Shankara Canc Hosp & Res Ctr,1,1
Great Eastern Med Sch & Hosp,1,1
Nimra Inst Med Sci,1,1
Sterling Hosp,2,6
IGNOU,1,0
Sacred Heart Coll Thevara,1,0
Diabet Asian Study Grp DASG,1,198
Mahamana Pandit Madanmohan Malviya Canc Ctr,1,1
Sanskar Coll Pharm & Res,1,38
CSIR Cent Leather Res Inst,1,1
Indian Acad Cytologists,1,5
Dept Anim Husb,2,25
Lala Lajpat Rai Univ Vet & Anim Sci,1,4
CSIR Cent Bldg Res Inst,1,0
JSS Sci & Technol Univ,3,8
Sacred Heart Coll,1,1
Morning Star Home Sci Coll Angamaly,1,1
ACTREC Tata Mem Ctr,1,0
CSIR Inst Genom & Integrat Biol CSIR IGIB,2,15
Kurnool Med Coll,1,4
Ctr Adv Res Imaging Neurosci & Genom,1,4
Govt Inst Med Sci,1,4
Barnagar Coll,1,0
All India Inst Med Sci Bhubaneswar,1,3
Guru Jambheshwar Univ Sci & Technol,1,1
Max Healthcare,2,1
Max Hosp Smart,1,1
Punjab Engn Coll,2,3
Punjab Pollut Control Board,1,2
Shaheed Bhagat Singh State Tech Campus,2,3
Indian Sch Business,3,3
Ambedkar Univ,3,3
India Sch Business,1,2
India Forest Serv,1,2
Natl Inst Technol Calicut,2,0
Dinabandhu Andrews Inst Technol & Management,1,0
Mumbai Shoulder Inst,1,0
CSIR Natl Phys Lab,1,0
Govt Natl Capital Terr Delhi,1,0
Brainware Univ,2,0
Punjab Univ,2,1
Medanta Medicity Hosp,2,0
GMCH 32,1,0
Dr GC Negi Coll Vet & Anim Sci,1,19
Dr Mohans Diabet Special Ctr,2,2
NM Hosp,1,1
VAI,1,4
Kovai Med Ctr & Hosp,3,3
Medanta Med,1,3
Agharkar Res Inst,1,4
Kem Hosp & Res Ctr,1,13
Mangalayatan Univ,1,12
Inst Appl Med & Res,1,12
Sree Buddha Coll Engn,1,4
Natl Ctr Microbial Resource,1,61
TN Med Coll & BYL Nair Hosp,1,10
Syngene Int Ltd,2,0
Indian Inst Sci Educ & Res Thiruvananthapuram IIS,2,160
Indraprastha Inst Informat Technol,3,18
Mt Carmel Coll,1,1
Devi Ahilya Univ,3,0
Deepiot Private Ltd,1,0
Oxford Coll Engn,1,0
Ayurvet Ltd,1,0
Cluster Univ Srinagar,1,0
Natl Inst Food Technol Entrepreneurship & Managem,3,1
Sri Ram Murti Smarak Inst Med Sci SRMS IMS,1,0
Chhattisgarh Inst Med Sci,1,0
CSIR Ctr Cellular & Mol Biol,2,0
CSIR Cent Elect Engn Res Inst,1,0
Dakshin Fdn,1,0
Inst Adv Study Sci & Technol,1,0
JNU,1,0
IIT BHU,2,0
Manav Rachana Int Inst Res & Studies,1,0
KLE Inst Technol,1,0
Dukhulal Nibaran Chandra Coll,1,1
Darjeeling Govt Coll,1,1
Bangur Inst Neurosci,1,0
Rajiv Gandhi Univ,1,0
Kamineni Acad Med Sci & Res Ctr,3,1
St Johns Res Inst,2,2
Thapar Univ,2,7
Govt Dent Coll & Hosp Ahmedabad,1,0
Maulana Azad Dent Coll & Hosp,1,0
Sathyabama Univ Dent Coll & Hosp,1,0
Yenepoya Univ,1,0
Apollo Special Hosp OMR,1,0
Apollo Special Hosp Vanagaram,1,0
Am Univ Uttar Pradesh,1,0
Sana Coll Pharm,2,13
JNTUA,1,0
Sri Ramachandra Med Coll & Res Inst,1,0
CSIR Fourth Paradigm Inst CSIR 4PI,1,0
Indian Inst Chem Technol CSIR IICT,1,0
Adobe,1,0
Mahatma Gandhi Cent Univ Motihari,2,0
Future Inst Engn & Management,2,4
Bankura Univ,1,0
Srima Balika Vidyalaya,1,0
Dr Bhanuben Nanavati Coll Pharm,1,1
Mahatma Gandhi Occupat Therapy Coll,1,0
CSIR NEERI,3,23
CSIR Cent Rd Res Inst CRRI,1,0
MarksMan Healthcare Commun & KYT Adhere,1,0
MarksMan Healthcare Commun,1,0
Inst Engn & Technol,2,1
Inst Econ Growth,1,1
Babasaheb Bhimrao Ambedkar Cent Univ,1,10
Madura Coll,1,2
Madurai Kamaraj Univ,4,12
CL Gupta Eye Inst,1,1
Dua Neuropsychiat Ctr,1,1
Sunetra Eye Care Ctr,1,1
Al Shifa Coll Pharm,1,1
St Thomas Coll,1,0
Glowderma Pvt Ltd,1,0
Mepco Schlenk Engn Coll,2,3
Neogen Informat,1,1
Subharti Med Coll,1,0
MIT Sch Bioengn Sci & Res,1,0
Mental Hlth Fdn,1,0
IIEST Shibpur,1,0
Sri Sathya Sai Univ Human Excellence,1,2
Fernandez Hosp,1,1
Surya Childrens Medicare,1,1
Apollo Cradle,1,1
Dr Vasantrao Pawar Med Coll,3,9
BV Patel Pharmaceut Educ & Res Dev PERD Ctr,1,2
Indian Inst Adv Res,2,2
TIFR,1,0
Vignans Fdn Sci Technol & Res,4,14
ICAR Indian Inst Seed Sci,2,1
Govt Med Coll Srinagar,1,1
SVKMs Dr Bhanuben Nanavati Coll Pharm,1,3
Rajkiya Engn Coll,1,1
Cent Mine Planning & Design Inst Ltd CMPDIL,1,1
Gopal Narayan Singh Univ,1,4
Abeda Inamdar Coll,1,11
Zool Survey India,2,7
Womens Inst Social & Hlth Studies,1,0
MM Inst Med Sci & Res,2,11
Natl Hlth Miss Punjab,1,1
Desh Bhagat Univ,1,1
Guru Nanak Dev Engn Coll,1,1
Vel Tech Rangarajan Dr Sagunthala R&D Inst Sci &,3,3
Jeppiaar Educ Trust,1,2
St Aloysius Coll Autonomous,1,0
Father Muller Med Coll,1,0
Def Inst Physiol & Allied Sci,3,2
Minist Def,1,2
Darrang Coll,1,4
TCRP Fdn,1,4
Univ Sci & Technol,1,4
ACE Heart & Vasc Inst,1,0
Bodoland Univ,3,6
North Orissa Univ,2,1
Kalinga Inst Ind Technol,2,6
MACS Agharkar Res Inst,1,1
BAIF Dev Res Fdn,1,1
Dept Neurol,1,11
Dept Pharmacol,2,11
ESIC Hosp,1,22
CV Raman Gen Hosp,1,22
Skin Saga Ctr Dermatol,2,14
LEPRA Soc,1,0
Madras Med Mission,3,6
TATA Mem Canc Ctr,1,3
Patliputra Univ,1,7
Rohilkhand Med Coll & Hosp,1,8
Seth GS Med Coll,4,18
CBR Global Network,1,7
TNMC & BYL Nair Ch Hosp,1,44
HiTech Med Coll,1,44
Asha Hosp,1,44
Mahatma Gandhi Inst Med Sci,2,64
WBUHS,1,44
NRS Med Coll,3,57
Gautam Hosp & Res Ctr,1,44
Manoved Mind Hosp,2,53
Abhaya Hosp,2,13
Spandana Hlth Care,2,13
Dr Parmod Clin,2,13
TN Nair Med Coll,1,20
Peoples Med Coll,1,20
KIMS,2,24
Gaur Mental Hlth Clin,1,20
Vivekananda Inst Mental Hlth,1,20
Midha Neuropsychiat Ctr,1,20
Somnos Sleep Clin,1,20
Addict Res Grp,1,16
Fortis CODC Hosp,1,12
Govt Dent Coll & Hosp Nagpur Maharashtra,1,10
CSIR Ctr Cellular & Mol Biol CCMB,1,14
CSIR Indian Inst Chem Technol IICT,1,14
Kakatiya Med Coll,5,60
Talwar & Talwar Consultants,1,8
Indian Council Med Res Natl Inst Epidemiol,1,28
DCIDS Med,1,2
Fortis Grp Hosp,2,2
SGRD Inst Med Sci & Res,1,16
King Edward Mem Hosp,5,14
Seth GS Med Coll KEM Hosp,1,0
Rangaraya Med Coll,2,1
Charotar Univ Sci & Technol CHARUSAT,1,1
Bihar Agr Univ,1,0
Lady Shri Ram Coll Women,1,0
ICMR NIREH,1,0
Savitribai Phule Pune Univ Campus,1,0
Smt Kashibai Navale Coll Pharm,5,71
Reg Ayurveda Res Inst Drug Dev,5,27
Cent Council Res Ayurved Sci,2,3
Command Hosp Air Force Bangalore,1,1
PRADO Pvt Ltd,1,0
Just Bespoke Advisory LLP,1,0
Sinha Inst Med Sci & Technol,1,0
OIST,1,0
Rajasthan Tech Univ Kota,1,0
Deen Dayal Upadhayay Pashu Chikitsa Vigyan Vishwa,1,203
GB Pant,1,38
GB Pant Hosp,2,40
Devdoss Hosp,1,38
Techno India Coll Technol,3,90
Dinabandhu Andrews Coll,2,39
Bangur Inst Neurosci BIN,1,6
Berhampore Mental Hosp,1,6
Swargiya Dadasaheb Kalmegh Smruti Dent Coll & Hos,2,1
Oncoderm Clin,1,1
CSIR Inst Himalayan Bioresource Technol CSIR IHBT,2,14
Def Inst Adv Technol,1,0
MES Med Coll Hosp,2,12
MJP Rohilkhand Univ Bareilly,2,10
Uttarakhand Tech Univ,2,0
Coll Engn Roorkee COER,1,0
Bhilai Inst Technol,2,0
Sri Sathya Sai Inst Higher Learning,3,11
Natl Coll Pharm,1,10
Natl Inst Pharmaceut Educ & Res Hyderabad,1,3
MARS Training Acad,1,3
SRM IST,1,6
VIT,2,52
MBB Coll,1,2
CORE Diagnost,1,14
Adv Med Res Inst & Prolife Diagnost,1,14
Pune Hosp,1,0
Sriram Sameeksha,1,24
Suraj Darshan,1,24
Cent Univ South Bihar,2,25
EduBooster Learnings,1,24
DAV Inst Engn & Technol,1,3
Turakhia Opticians,1,1
Saoji Vis Care,1,1
Assoc Sch & Coll Optometry India ASCO India,1,1
Optometry Council India OCI,1,1
Indian Optometr Assoc IOA,1,1
Int Assoc Contact Lens Educ IACLE,1,1
Indian Optometry Federat,1,1
JECRC Univ,1,0
CSIR Cent Inst Med & Aromat Plants,2,2
Shroff Eye Ctr,1,2
Postgrad Inst Med Educ PGIMER,1,2
Postgrad Coll,1,4
B005 Meenakshi Class,1,1
Hemwati Nandan Bahuguna Garhwal Univ Srinagar,1,1
Gurukula Kangri Deemed Univ,1,1
Sardar Bhagwan Singh Univ,1,1
Atal Bihari Vajpayee Inst Med Sci,1,1
Ras Bihari Bose Subharti Univ,1,1
Ramkrishna Mahato Govt Engn Coll Purulia,1,0
Natl Inst Technol Meghalaya,3,58
Techno Main Salt Lake,1,0
Jalpaiguri Govt Engn Coll,1,0
Delhi Inst Pharmaceut Sci & Res DIPSAR,1,0
LLRM Med Coll,1,0
Maharashtra Univ Hlth Sci MUHS,1,2
Johns Hopkins India Private Ltd JHIPL,1,0
Shri Maharaja Hari Singh Hosp,1,0
King Edward Mem Hosp Res Ctr,1,1
INCLEN Trust Int,1,1
Prathima Inst Med Sci,1,0
Vydehi Inst Med Sci & Res Ctr,1,0
BLDE Univ,1,0
Ganapthi Degree Coll,1,0
Inst Pharm & Technol,1,0
Indian Inst Sci Educ & Res Pune,1,0
Wipro Technol,1,0
Univ Innovat,3,3
MGM Med Coll,1,0
DY Patil Med Coll,1,0
Chirayu Med Coll,1,0
Int Management Inst,2,0
Reg Inst Educ NCERT,1,0
State Legal Serv Author,1,0
Oxford Coll Sci,1,0
VV Inst Pharmaceut Sci,2,18
Sri Venkateswara Univ,2,1
NITTE Deemed Univ,1,0
Jawaharlal Inst Postgrad aed Educ & Res JIPMER,1,0
Cent Univ Tamilnadu,1,0
Acharya Nagarjuna Univ,3,0
Indian Inst Sci Educ & Res IISER Berhampur,1,1
Masonic Med Ctr,1,6
DrRela Inst & Med Ctr,1,6
GMCH,2,20
Rainbow Childrens Hosp Grp,1,19
Nanavati & Hinduja Hosp,1,19
Dr RJ Ganatras Nursing Home,1,19
Arihant Womens Hosp,1,19
Surya Hosp,1,19
VMMC & SJH,1,19
BPCH & Tertiary Care Ctr,1,19
Med Res Inst KDAHMRI,1,19
Ashwini Matern & Surg Ctr,1,19
Behrampore Mental Hosp,1,51
Wipro Ltd,1,1
Ramco Inst Technol,1,1
VO Chidambaram Coll,3,34
Natl Inst Technol Jamshedpur,2,6
Naval Matern & Nursing Home,1,0
Federat Obstetr & Gynecol Soc India,1,0
Sri Venketeshwaraa Med Coll,1,0
Midam Charitable Trust,1,0
Nat Conservat Fdn,1,0
Diamond Harbour Govt Med Coll & Hosp DHGMC,1,1
Signy Adv Technol,1,2
GenePath Diagnost India Pvt Ltd,1,0
Vilasrao Deshmukh Govt Inst Med Sci,1,0
Inst Competitiveness,1,0
Bhagwan Parshuram Inst Technol,1,0
Mody Univ Sci & Technol,2,0
Coll Engn Perumon,1,3
Modern Inst Pharmaceut Sci,1,0
Govt Engn Coll,1,0
Pt Ravishankar Shukla Univ,3,42
Maharaja Agrasen Inst Management Studies,1,0
NorthCap Univ,1,0
Vivekananda Inst Profess Studies Tech Campus,1,0
Chaudhary Charan Singh Haryana Agr Univ,1,0
Peoples Coll Dent Sci & Res Ctr,1,1
Shri Venkateshwara Dent Coll,1,1
Oncol Apollo Hosp,1,0
Sri Ramachandra Inst Higher Educ & Res,2,1
Ranchi Univ,3,8
Def Inst Physiol & Allied Sci DIPAS,1,0
Sonam Norboo Mem SNM Hosp,1,0
Indian Inst Technol Madras IIT M,1,8
Dayananda Sagar Coll Engn,2,37
Anand Eye Inst,1,0
GHR Micro Diagnost,1,0
Int Maize & Wheat Improvement Ctr CIMMYT,1,2
CIMMYT,1,2
IRRI South Asia Reg Ctr ISARC,1,2
Int Rice Res Inst IRRI,1,2
Indian Council Agr Res ICAR,1,2
ICAR Cent Soil Salin Res Inst CSSRI,1,2
ICAR Agr Technol Applicat Res Inst ATARI,1,2
Lelafe IT Solut,1,73
Schizophrenia Res Fdn SCARF,1,14
Bhupal Nobles Univ,2,3
Jai Narain Vyas Univ,1,0
VMMC & Safdarjung Hosp,1,0
Malaria Eliminat Demonstrat Project,1,6
Natl Inst Res Tribal Hlth ICMR NIRTH,1,6
Govt Madhya Pradesh,1,6
Fdn Dis Eliminat & Control India,1,6
Jhpiego,1,6
InStem,1,0
St Berchmans Coll,1,2
Mrs AVN Coll,1,2
Cent Inst Med & Aromat Plants,2,52
GITAM Deemed Univ,4,6
Ram Eesh Inst Vocat & Tech Educ,1,4
CHRIST Deemed Be Univ,1,11
Maharishi Markandeshwar,2,11
Lady Hardinge Med Coll & Associated Hosp,2,8
Patanjali Res Fdn,1,0
Dr Yashwant Singh Parmar Univ Hort & Forestry,1,0
Swami Vivekanand Ayurved Panchakarma Hosp,1,0
BPHE Soc Ahmednagar Coll,1,0
Reg Ayurveda Res Inst,1,0
Cent Ayurveda Res Inst Cardiovasc Dis,1,0
All India Inst Ayurveda,1,0
Mangalore Univ,2,0
Kurukshetra Univ Kurukshetra,1,0
Uttarakhand Sanskrit Univ,1,0
Indian Assoc Yoga,1,0
Govemment Ayurved Hosp,1,0
Aligarh Unani Ayurved Med Coll,1,0
Natl Inst Unani Med,1,0
Birla Inst Technol & Sci BITS,1,1
Marwadi Educ Fdn Grp Inst,1,1
Marwadi Univ,1,1
Cent Mine Planning Design Inst,1,1
Shri Vile Parle Kelvani Mandals Inst Pharm,1,0
Govt Kerala,4,8
Int Inst Informat Technol,1,0
Jaypee Univ Engn & Technol,1,0
ICAR Indian Vet Res Inst Reg Stn,1,0
Dr DY Patil Med Coll,2,3
NIT Silchar,1,0
Gurudas Coll,1,14
Govt Coll Women,2,3
Acharya Inst,1,1
IIIT Allahabad,2,3
Baba Ghulam Shah Badshah Univ,1,1
BR Ambedkar Bihar Univ,1,1
Byramjee Jeejeebhoy Govt Med Coll & Sassoon Gen H,2,16
Maharishi Markandeshwar Inst Med Sci & Res MMIMSR,1,1
Mahatma Gandhi Missions Med Coll,3,18
NAMO Med Educ & Res Inst,1,1
NichiIn Ctr Regenerat Med NCRM,1,5
Marudupandiyar Coll & Lysine Biotech Pvt Ltd,1,1
GTN Arts Coll,1,1
GATE Acad,1,1
Madha Med Coll & Res Inst,1,6
Meenakshi Med Coll Hosp & Res Inst,1,6
Saveetha Med Coll Hosp,1,6
Bharat Biotech Int Ltd,4,17
RCC Labs India Private Ltd,1,1
Natl Inst Virol Indian Council Med Res NIV ICMR,1,1
Natl Inst Pharmaceut Educ & Res Raebareli,1,0
Bioinformat Ctr,1,0
AMITY Univ,1,0
Biotech Pk,1,0
Patna Womens Coll,1,0
Patna Univ,5,30
PC Vigyan Mahavidyalaya,1,0
Dharmapuram Gnanambigai Govt Arts Coll Women,1,0
Harcourt Butler Tech Univ,1,0
Goa Inst Management,3,50
Inst Nanosci & Technol INST,1,0
Sri Ramachandra Inst Higher Educ & Res Deemed Uni,2,0
Rajiv Gandhi Univ Hlth Sci Bachelor Pharm,1,0
Rajiv Gandhi Univ Hlth Sci,1,0
IRCS,1,0
Amrita Vishwavidyapeetham,1,0
CSIR Ctr Cellular Mol Biol,1,0
CSIR Headquarters,1,0
Abasaheb Garware Coll,1,0
Jagannath Kishore Coll,1,3
Habitat Ctr,2,50
Mu Sigma Inc,1,0
SIWS Coll,1,0
PSG Inst Adv Studies,1,0
Tata Mem Ctr TMC,1,0
Pt BD Sharma Postgrad Inst Med Sci,1,1
Ramaiah Int Ctr Publ Hlth Innovat,1,1
Purnea Mahila Coll,1,1
Shadan Inst Med Sci,1,2
ICMR India Canc Res Consortium,1,3
IIT Delhi,2,0
Sikkim Manipal Univ,2,10
SETS Coll Pharm,1,1
Chanabasava Nilaya,1,1
JSS Coll Pharm,1,1
Inst Post Grad Med Educ & Res & SSKM Hosp,1,0
Uttarakhand Ayurved Univ,1,0
Pt Lalit Mohan Sharma Govt Postgrad Coll,1,0
Maulana Azad Med Coll & Associated Lok Nayak Hosp,1,1
Dr Balaji Diabet Care Ctr,1,2
Dr Seshiah Diabet Res Inst,1,2
Vivekananda Inst Med Sci,1,2
Osmania Gen Hosp,3,6
Divakars Specialty Hosp,1,2
Jain Hosp,1,2
Diabet Pregnancy Study Grp India,1,2
RTM Univ,3,43
Indian Assoc Cultivat Sci,4,38
Dr RML Hosp,1,2
ABVIMS,1,2
Jiwaji Univ,1,34
Kristu Jayanti Coll,1,8
Symbiosis Int Deemed Univ,3,51
Food Qual Anal & Biochem Div,1,8
Raksha Shakti Univ,1,36
Univ Jammu J&K,1,0
JETs ZB Patil Coll,1,1
Madras Christian Coll Autonomous,1,1
IIT Kharagpur Extens Ctr,1,2
Sapala Organ Pvt Ltd,1,2
MVPs DrVP Med Coll & Hosp & Res Ctr,1,0
Indian Inst Remote Sensing,4,15
Kamineni Hosp,1,1
Directorate Anim Husb,1,5
Pandit Bhagwat Dayal Sharma Univ Hlth Sci,1,0
Govt Polytech Women,1,0
Allign Consultancy Serv,1,0
Rainbow Multispecial Hosp,1,0
ICMR Reg Med Res Ctr Gorakhpur,1,0
MM Univ,1,0
Stanford Labs Pvt Ltd,1,0
IEC Univ,1,0
Apollo Indraprastha Hosp,1,0
Sangath,1,0
Indian Inst Geomagnetism,1,0
Natl Remote Sensing Ctr,2,0
Bharati Vidyapeeths Dr Patangrao Kadam Mahavidyal,1,0
Natl Inst Cholera & Entr Dis,1,0
Fergusson Coll Autonomous,1,0
Prashanti Canc Care Mission,1,0
Rajiv Gandhi Proudyogiki Vishwavidyalaya,1,0
Maulana Azad Med Coll & Associated Hosp,1,0
Lok Nayak Hosp,4,6
RD Univ,2,0
Natl Inst Technol Manipur,1,0
KAHER JN Med Coll,2,1
Gujrat Med Educ & Res Soc Med Coll,1,1
Mamata Med Coll,1,1
Metropolitan Hosp,2,1
Krea Univ,2,0
Parala Maharaja Engn Coll,1,0
Pushpagiri Coll Nursing,1,1
CMC Hosp,1,0
Thirumalai Mission Hosp,1,0
CSIR Inst Minerals & Mat Technol,1,0
Vikram Sarabhai Space Ctr,3,7
North Eastern Space Applicat Ctr,1,0
Indian Inst Mineral & Mat Technol,1,0
GB Pant Inst Himalayan Environm & Dev,1,0
Tamil Nadu Agr Univ,1,0
Sri Krishna Devaraya Univ,1,0
DDU Gorakhpur Univ,1,0
Phys Res Lab,1,0
Indian Space Res Org ISRO,1,1
Cooch Behar Polytech,1,1
Dr Mohans Diabet Specialties Ctr,1,5
Panjab Univ Campus,1,5
ToxiVen Biotech,1,0
Credit Suisse Private Ltd,1,3
Council Sci & Ind Res Indian Inst Chem Biol CSIR,1,5
Indian Inst Chem Biol Translat Res Unit Excellenc,1,5
IAP BLS Grp,1,0
Kalawati Saran Children Hosp,1,0
DBT Wellcome Trust India Alliance,1,0
Ernakulam Med Ctr,1,0
Sri Manakula Vinayagar Med Coll & Hosp,1,0
All India Inst Med Educ & Res,1,7
Indian Coll Obstetricians & Gynaecologists,1,19
Koneru Lakshmaiah Educ Fdn KLEF,1,17
NRI Med Coll & Gen Hosp,1,17
Dr GM Taori Cent India Inst Med Sci,1,0
Amrita Inst Med Sci,1,0
Bharati Vidyapeeth Med Coll,2,3
Krishna Inst Med Sci,2,3
KEM Hosp Murnbai,1,0
Care Hosp,1,0
Avitis Inst Med Sci,1,0
Hiralal Bhakat Coll,1,0
Amity Univ Kolkata,1,0
Indian Inst Trop Meteorol IITM,1,1
Amity Univ Haryana AUH,1,1
Minist Earth Sci MoES,1,1
Visva Bharati Univ,2,29
Thapar Inst Engn & Technol Patiala India,1,0
Mahatma Jyotiba Phule Rohilkhand Univ Bareilly,1,3
ICAR Natl Dairy Res Inst,1,1
Kalpana Chawla Govt Med Coll,1,1
ABES Engn Coll,1,0
Meerut Inst Technol,1,0
Sister Nibedita Govt Gen Degree Coll Girl,1,0
Dr Harisingh Gour Cent Univ,2,21
Banasthali Vidyapith,1,0
Asutosh Coll Estd 1916,1,0
Delhi Pollut Control Comm,1,0
ICAR Cent Inst Agr Engn,1,2
GGSSS,1,6
Manonmaniam Sundaranar Univ,1,11
KL Univ,1,1
Jain Univ,2,3
VN Allergy & Asthma Res Ctr,2,22
Saveetha Med Coll,1,1
Shri GS Inst Technol & Sci,1,0
CSK Himachal Pradesh Agr Univ,1,0
Indian Inst Management IIM,1,0
Indian Inst Technol ISM,3,1
Janakpuri Super Special Hosp,1,0
Hindu Mission Hosp,1,1
