name,publications,citations
Lokmanya Tilak Municipal Med Coll & Gen Hosp,2,38
Kasi Clin,1,3
Guru Gobind Singh Med Coll,1,3
Lady Hardinge Med Coll & Hosp,14,16
Kanchi Kamakoti Childs Trust Hosp,3,41
MKCG MCH,1,3
Dr Abhay K Shah Children Hosp,1,3
Fortis Hosp,15,119
Marathe Child Care Hosp,1,3
Gouri Devi Inst Med Sci & Hosp,1,3
Aditya Super Special Hosp,1,3
Bakul Parekh Hosp Children,2,4
IGICH,1,3
Univ Coll Med Sci,10,57
Babylons Newton Child Dev & Support Ctr,1,1
Rama Med Coll Hosp & Res Ctr,1,1
Manipal Acad Hlth & Educ,1,1
Kokilaben Dhirubhai Ambani Hosp,3,29
Hind Inst Med Sci,1,1
Asha Child Care & Dev Clin,1,1
Om Pediat Multispecial Hosp,1,1
Sanjay Gandhi Postgrad Inst,2,4
Adolescent Clin,1,1
Kanetkar Inst Comp & Informat Technol,1,1
Podar Educ Network,1,1
Indira Gandhi Cooperat Hosp,2,1
Amrita Inst Med Sci & Res Ctr,2,13
Indira Gandhi Inst Child Hlth,4,19
GTB Hosp,3,7
Jawaharlal Inst Postgrad Med Educ & Res JIPMER,14,756
Govt Med Coll & Hosp,21,235
Dept Pediat,2,0
Natl Inst Sci Educ & Res,3,2
Indian Inst Sci Educ & Res,10,24
Bikashs Quantum OPC Pvt Ltd,2,2
Indian Inst Sci Educ & Res Kolkata,10,18
Inst Psychiat IOP,2,4
Univ Burdwan,6,13
Integral Univ,6,9
Prin KM Kundnani Coll Pharm,1,1
Chief Med Hlth Officer CMHO,1,0
Joint Initiat Indian Inst Sci Educ & Res IISER Pu,1,4
SMS Med Coll & Attached Hosp,1,0
Apollo Hosp,18,69
Jadavpur Univ,38,153
Behav Insights Architecture & Strategy BIAS,1,0
Monk Prayogshala,5,4
Meghnad Desai Acad Econ,1,0
SRMIST,1,0
MS Ramaiah Inst Technol,2,0
MS Ramaiah Univ Appl Sci,7,24
Siddaganga Inst Technol,3,18
360 Diagnost & Hlth Serv,1,0
Noodle Analyt Pvt Ltd,1,0
Valerian Chem Pvt Ltd,1,0
Bhaktshreshtha Kamalakarpant Laxman Walawalkar Ru,1,0
Smt Kashibai Navale Med Coll & Gen Hosp,3,6
Pushpagiri Inst Med Sci & Res Ctr,2,2
NDMC Med Coll & Hindu Rao Hosp,1,0
Mahatma Gandhi Med Coll & Hosp,5,60
Narayana Super Special Hosp,1,0
Regency Super Special Hosp,1,0
Columbia Asia Referral Hosp,2,0
PSRI Hosp,2,0
UR Anoop Res Grp,1,0
Sri Balaji Vidyapeeth Deemed Univ,1,0
Pondicherry Cent Univ,1,0
Dr LalPathlabs Natl Reference Lab,1,0
Indian Inst Sci Educ & Res Bhopal,1,1
Bennett Univ,10,23
Manipal Univ Jaipur,8,136
Natl Inst Technol Hamirpur,8,56
M Viswanathan Hosp Diabet,1,0
Annus Hosp Skin & Diabet,5,16
Visvesvaraya Natl Inst Technol,4,9
Indraprastha APOLLO Hosp,5,16
Piramal Swasthya Management & Res Inst,1,0
Nference Labs,4,28
Indian Inst Management Udaipur,3,22
AU KBC Res Ctr,1,0
Ctr Cellular & Mol Biol,2,0
SP Jain Inst Management & Res,2,4
Stella Maris Coll Autonomous,2,5
Karunya Inst Technol & Sci,21,317
CSIR IHBT,3,104
AcSIR,1,90
JAYPEE Univ Engn & Technol,1,0
DAV Univ,4,12
GNDU,1,1
THSTI,1,50
Assam Univ,12,77
Cent Food Technol Res Inst,2,46
Mahatma Gandhi Univ,3,36
Indian Spinal Injuries Ctr,1,8
Sir HN Reliance Fdn Hosp,3,8
Grant Med Coll,2,8
Sir JJ Hosp,1,8
Sir HN Reliance Hosp,1,8
Ganga Hosp,2,8
CSIR Indian Inst Integrat Med IIIM,1,14
Kazi Nazrul Univ,9,85
Dr Umayal Ramanathan Coll Women,2,15
ICAR Cent Res Inst Dryland Agr,1,6
Acharya NG Ranga Agr Univ,1,6
Univ Hyderabad,24,94
Anticlock Clin,2,12
Vanila Dermol,1,7
Indian Inst Sci Educ & Res IISER,5,17
Seth GS Med Coll & KEM Hosp,3,0
Rajiv Gandhi Ctr Biotechnol,5,34
Govt NSCB Med Coll,1,1
CSIR Indian Inst Integrat Med,1,15
Natl Inst Pharmaceut Educ & Res NIPER Guwahati,1,6
Khyati Coll Pharm,1,6
Rungta Coll Pharmaceut Sci & Res,1,6
Jethwani Hosp,1,1
Diacare Diabet Care & Hormone Clin,2,10
Jothydevs Diabet Res Ctr,2,1
Bharati Hosp,1,1
Ruby Hall Clin,2,2
Diabet Care Clin,1,1
North Bengal Med Coll,1,5
Chitkara Univ,24,77
Pathfinder Res & Training Fdn,4,18
Vidyasagar Coll,1,6
Pondicherry Univ,9,23
Natl Ctr Cell Sci,6,141
Trident Acad Creat Technol,2,41
Baba Farid Univ Hlth Sci,2,15
Jairam Arts & Sci Coll,1,1
Kandaswami Kandars Coll,1,1
Govt Arts Coll Men,1,1
Kulkarni Reconstruct Urol Ctr,4,11
Jubilee Mission Med Coll & Res Ctr,1,1
Kalinga Inst Ind Technol KIIT,1,3
Inst Nucl Med & Allied Sci INMAS,1,1
Indian Inst Technol Guwahati,16,128
Cent Univ Gujarat,7,11
Assam Royal Global Univ,1,5
Univ Allahabad,9,20
Univ Kerala,10,54
Dassault Syst India Pvt Ltd,1,3
English & Foreign Languages Univ,2,0
Burdwan Med Coll & Hosp,3,61
AIIMS Jodhpur,2,13
Apollo Gleneagles Hosp,2,8
Lakshya Soc Publ Hlth Educ & Res,1,11
Tata Energy Res Inst TERI,1,7
B J Wadia Hosp Children,1,0
Bai Jerbai Wadia Hosp Children,4,9
Mumbai Port Trust Hosp,1,3
CRSGPP,1,1
Netaji Subhash Chandra Bose Govt Med,1,0
Netaji Subhash Chandra Bose Govt Med Coll,3,1
Coll Vet & Anim Sci,1,0
Amity Univ Uttar Pradesh AUUP,2,1
nference Labs,1,7
Indian Agr Res Inst,5,30
Chaudhary Charan Singh Univ,2,8
Chettinad Dent Coll & Res Inst,1,0
Saveetha Univ,8,5
Punjab Agr Univ,7,3
BJ Med Coll & Civil Hosp,2,4
Pandit DeenDayal Upadhyaya PashuChikitsa Vigyan V,1,0
Govt Coll Engn,9,25
IIT Jodhpur,1,0
Natl Inst Plant Genome Res,7,40
Ambedkar Univ Delhi,1,0
Indian Inst Technol Hyderabad,12,71
Natl Inst Technol Warangal,3,3
Maulana Azad Natl Inst Technol,3,2
Indian Inst Technol Indore,11,31
Sam Higginbottom Univ Agr Technol & Sci,3,0
Koneru Lakshmaiah Educ Fdn,8,51
Panimalar Med Coll Hosp & Res Inst,1,0
Panimalar Coll Nursing,1,0
Panimalar Med Coll Hosp & Res,1,0
St Pius X Coll Rajapuram,2,3
RV Coll Engn,3,28
Ashoka Univ,7,15
Indian Inst Technol Indore IITI,2,24
Wockhardt Hosp,4,25
St Isabels Hosp,2,6
Dept Minimal Access Surg,1,0
Era Univ,3,13
Eras Lucknow Med Coll Hosp,1,6
North Delhi Municipal Corp Med Coll & Hindu Rao H,2,15
LTM Med Coll & Gen Hosp,1,5
KPC Med Coll & Hosp,5,48
Sujala Polyclin,1,5
Clin Dermatech,2,19
Indian Stat Inst,23,236
IIT Madras,1,9
