name,type
MAX Superspecialty Hosp,Hospital
NH Mazumdar Shaw Med Ctr,Research Center
Christian Med Coll & Hosp,College
Dr Ram Manohar Lohia Hosp & Atal Bihari Vajpayee,Hospital
Madras ENT Res Fdn MERF,Research Center
MERF Inst Speech & Hearing P Ltd,Institute
Neuberg Labs,None
DY Patil Dent Sch,School
Indira Gandhi Inst Dent Sci,Institute
Oxford Dent Coll,College
Sri Venkateshwaraa Dent Coll,College
VSPM Dent Coll,College
Sanjay Gandhi Post Grad Inst Med Sci SGPGIMS,Institute
Super Special Paediat Hosp & Postgrad Teaching In,Hospital
Sir GangaRam Hosp,Hospital
Swami Rama Himalayan Univ,University
HIHT Univ,University
Maulana Azad Med Coll,College
WHO,None
Natl Capital Reg NCR Biotech Sci Cluster,None
Indiragandhi Inst Child Hlth,Institute
Sri Sathya Sai Cent Trust,None
Kannur Univ,University
Indian Inst Technol Gandhinagar,Institute
Natl Inst Technol Tiruchirappalli,Institute
Exper Technol,None
Crowcon,None
Swathanthra Malayalam Comp,None
APJ Abdul Kalam Tech Univ,University
Indian Inst Technol Mandi,Institute
Sidho Kanho Birsha Univ,University
Indian Inst Technol IIT,Institute
PVNRTVU,None
Maharshi Dayanand Univ MDU,University
Amity Int Sch,School
Intas Pharmaceut,None
Lokmanya Tilak Municipal Med Coll & Gen Hosp,College
Kasi Clin,Hospital
Guru Gobind Singh Med Coll,College
Lady Hardinge Med Coll & Hosp,College
Kanchi Kamakoti Childs Trust Hosp,Hospital
MKCG MCH,None
Dr Abhay K Shah Children Hosp,Hospital
Fortis Hosp,Hospital
Marathe Child Care Hosp,Hospital
Gouri Devi Inst Med Sci & Hosp,Institute
Aditya Super Special Hosp,Hospital
Bakul Parekh Hosp Children,Hospital
IGICH,None
Univ Coll Med Sci,College
Babylons Newton Child Dev & Support Ctr,Research Center
Rama Med Coll Hosp & Res Ctr,College
Manipal Acad Hlth & Educ,Academy
Kokilaben Dhirubhai Ambani Hosp,Hospital
Hind Inst Med Sci,Institute
Asha Child Care & Dev Clin,Hospital
Om Pediat Multispecial Hosp,Hospital
Sanjay Gandhi Postgrad Inst,Institute
Adolescent Clin,Hospital
Kanetkar Inst Comp & Informat Technol,Institute
Podar Educ Network,None
Indira Gandhi Cooperat Hosp,Hospital
Amrita Inst Med Sci & Res Ctr,Institute
Indira Gandhi Inst Child Hlth,Institute
GTB Hosp,Hospital
Jawaharlal Inst Postgrad Med Educ & Res JIPMER,Institute
Govt Med Coll & Hosp,College
Dept Pediat,None
Natl Inst Sci Educ & Res,Institute
Indian Inst Sci Educ & Res,Institute
Bikashs Quantum OPC Pvt Ltd,None
Indian Inst Sci Educ & Res Kolkata,Institute
Inst Psychiat IOP,Institute
Univ Burdwan,University
