first_name,last_name,full_name,department,university,country,leader
Prashant,Kumar,"Prashant, Kumar",Amity Inst Virol & Immunol,Amity Univ,India,"Yashpal Singh, Malik"
Ashish,Srivastava,"Ashish, Srivastava",Amity Inst Virol & Immunol,Amity Univ,India,"Yashpal Singh, Malik"
Yashpal Singh,Malik,"Yashpal Singh, Malik",Div Biol Standardizat,Indian Council Agr Res,India,"Yashpal Singh, Malik"
Yashpal Singh,Malik,"Yashpal Singh, Malik",Coll Anim Biotechnol,Guru Angad Dev Vet & Anim Sci Univ,India,"Yashpal Singh, Malik"
Balasubramanian,Ganesh,"Balasubramanian, Ganesh",Lab Div,Indian Council Med Res,India,"Yashpal Singh, Malik"
Somnath,Rahangdale,"Somnath, Rahangdale",CSIR HRDC Campus,Acad Sci & Innovat Res AcSIR,India,"Yashpal Singh, Malik"
Somnath,Rahangdale,"Somnath, Rahangdale",Plant Mol Biol & Biotechnol Div,CSIR Natl Bot Res Inst,India,"Yashpal Singh, Malik"
Sharad,Saurabh,"Sharad, Saurabh",Plant Mol Biol & Biotechnol Div,CSIR Natl Bot Res Inst,India,"Yashpal Singh, Malik"
Senthilkumar,Natesan,"Senthilkumar, Natesan",Gandhinagar,Indian Inst Publ Hlth Gandhinagar,India,"Yashpal Singh, Malik"
Khan,Sharun,"Khan, Sharun",Div Surg,ICAR Indian Vet Res Inst,India,"Yashpal Singh, Malik"
Mohd Iqbal,Yatoo,"Mohd Iqbal, Yatoo",Fac Vet Sci & Anim Husb,Sher E Kashmir Univ Agr Sci & Technol Kashmir,India,"Yashpal Singh, Malik"
Ruchi,Tiwari,"Ruchi, Tiwari",Vet Microbiol & Immunol,UP Pandit Deen Dayal Upadhayay Pashu Chikitsa Vig,India,"Yashpal Singh, Malik"
Raj Kumar,Singh,"Raj Kumar, Singh",Div Vet Biotechnol,ICAR Indian Vet Res Inst,India,"Yashpal Singh, Malik"
Kuldeep,Dhama,"Kuldeep, Dhama",Div Pathol,ICAR Indian Vet Res Inst,India,"Yashpal Singh, Malik"
Janet,Orchard,"Janet, Orchard",Sch Educ,Univ Bristol,England,"Janet, Orchard"
Philip,Gaydon,"Philip, Gaydon",Theol & Philosophy,St Pauls Sch,England,"Janet, Orchard"
Kevin,Williams,"Kevin, Williams",Inst Educ,Dublin City Univ,Ireland,"Janet, Orchard"
Pip,Bennett,"Pip, Bennett",Ctr Longitudinal Studies,UCL Inst Educ,England,"Janet, Orchard"
Laura,D'Olimpio,"Laura, D'Olimpio",Sch Educ,Univ Birmingham,England,"Janet, Orchard"
Rasit,Celik,"Rasit, Celik",Sch Educ,Ankara Univ,Turkey,"Janet, Orchard"
Qasir,Shah,"Qasir, Shah",Educ Practice & Soc,UCL Inst Educ,England,"Janet, Orchard"
Judith,Suissa,"Judith, Suissa",Educ Practice & Soc,UCL Inst Educ,England,"Janet, Orchard"
Christoph,Neusiedl,"Christoph, Neusiedl",Bangalore,Project DEFY,India,"Janet, Orchard"
Michael A,Peters,"Michael A, Peters",Fac Educ,Beijing Normal Univ,China,"Janet, Orchard"
Marek,Tesar,"Marek, Tesar",Fac Educ & Social Work,Univ Auckland,Zealand,"Janet, Orchard"
Rubina,Mulchandani,"Rubina, Mulchandani",Indian Inst Publ Hlth Delhi,Publ Hlth Fdn India,India,"Ashish Kumar, Kakkar"
Tanica,Lyngdoh,"Tanica, Lyngdoh",Indian Inst Publ Hlth Delhi,Publ Hlth Fdn India,India,"Ashish Kumar, Kakkar"
Ashish Kumar,Kakkar,"Ashish Kumar, Kakkar",Chandigarh,Postgrad Inst Med Educ & Res,India,"Ashish Kumar, Kakkar"
Shahzaib,Ahamad,"Shahzaib, Ahamad",Translat Bioinformat Grp,Int Ctr Genet Engn & Biotechnol ICGEB,India,"Vijay, Kumar"
Dinesh,Gupta,"Dinesh, Gupta",Translat Bioinformat Grp,Int Ctr Genet Engn & Biotechnol ICGEB,India,"Vijay, Kumar"
Vijay,Kumar,"Vijay, Kumar",Amity Inst Neuropsychol & Neurosci AINN,Amity Univ,India,"Vijay, Kumar"
Rajesh,Ghosh,"Rajesh, Ghosh",Sch Basic Sci,Indian Inst Technol Bhubaneswar,India,"Ashis, Biswas"
Ayon,Chakraborty,"Ayon, Chakraborty",Sch Basic Sci,Indian Inst Technol Bhubaneswar,India,"Ashis, Biswas"
Ashis,Biswas,"Ashis, Biswas",Sch Basic Sci,Indian Inst Technol Bhubaneswar,India,"Ashis, Biswas"
Snehasis,Chowdhuri,"Snehasis, Chowdhuri",Sch Basic Sci,Indian Inst Technol Bhubaneswar,India,"Ashis, Biswas"
Pavan,Gollapalli,"Pavan, Gollapalli",KS Hegde Med Acad,Nitte Deemed Univ,India,"Praveenkumar, Shetty"
Prakash,Patil,"Prakash, Patil",KS Hegde Med Acad,Nitte Deemed Univ,India,"Praveenkumar, Shetty"
Suchetha Kumari,Nalilu,"Suchetha Kumari, Nalilu",KS Hegde Med Acad,Nitte Deemed Univ,India,"Praveenkumar, Shetty"
Praveenkumar,Shetty,"Praveenkumar, Shetty",KS Hegde Med Acad,Nitte Deemed Univ,India,"Praveenkumar, Shetty"
B S,Sharath,"B S, Sharath",Biotechnol & Bioinformat,Kuvempu Univ,India,"Praveenkumar, Shetty"
Hrvoje,Rimac,"Hrvoje, Rimac",Fac Pharm & Biochem,Univ Zagreb,Croatia,"Praveenkumar, Shetty"
Hrvoje,Rimac,"Hrvoje, Rimac",Higher Med & Biol Sch,South Ural State Univ,Russia,"Praveenkumar, Shetty"
Shivanandha,Kandagalla,"Shivanandha, Kandagalla",Higher Med & Biol Sch,South Ural State Univ,Russia,"Praveenkumar, Shetty"
Ajay,Kumar,"Ajay, Kumar",Chem,Indian Inst Technol,India,"Prashant, Singh"
Ajay,Kumar,"Ajay, Kumar",Appl Chem,Babasaheb Bhimrao Ambedkar Univ,India,"Prashant, Singh"
Durgesh,Kumar,"Durgesh, Kumar",Atma Ram Sanatan Dharma Coll,Univ Delhi,India,"Prashant, Singh"
Prashant,Singh,"Prashant, Singh",Atma Ram Sanatan Dharma Coll,Univ Delhi,India,"Prashant, Singh"
Ravinder,Kumar,"Ravinder, Kumar",Chem,Gurukula Kangri Vishwavidyalaya,India,"Prashant, Singh"
Ramesh,Chandra,"Ramesh, Chandra",Chem,Univ Delhi,India,"Prashant, Singh"
Kamlesh,Kumari,"Kamlesh, Kumari",Deen Dayal Upadhyaya Coll,Univ Delhi,India,"Prashant, Singh"
Yitka,Graham,"Yitka, Graham",Helen McArdle Nursing & Care Res Inst,Univ Sunderland,England,"Yitka, Graham"
Kamal,Mahawar,"Kamal, Mahawar",Helen McArdle Nursing & Care Res Inst,Univ Sunderland,England,"Yitka, Graham"
Catherine,Hayes,"Catherine, Hayes",Helen McArdle Nursing & Care Res Inst,Univ Sunderland,England,"Yitka, Graham"
Yitka,Graham,"Yitka, Graham",Gen Surg,South Tyneside & Sunderland NHS Fdn Trust,England,"Yitka, Graham"
Kamal,Mahawar,"Kamal, Mahawar",Gen Surg,South Tyneside & Sunderland NHS Fdn Trust,England,"Yitka, Graham"
Omar,Islam,"Omar, Islam",Gen Surg,South Tyneside & Sunderland NHS Fdn Trust,England,"Yitka, Graham"
Yitka,Graham,"Yitka, Graham",Fac Psicol,Univ Anahuac,Mexico,"Yitka, Graham"
Manel,Riera,"Manel, Riera",Gen Surg,Shrewsbury & Telford Hosp NHS Trust,England,"Yitka, Graham"
Aparna Ghovil,Bhasker,"Aparna Ghovil, Bhasker",Mumbai,Apollo & Gleneagles Global Hosp,India,"Yitka, Graham"
Michael,Wilson,"Michael, Wilson",Gen Surg,Forth Valley Royal Hosp,Scotland,"Yitka, Graham"
Abd,Tahrani,"Abd, Tahrani",Inst Metab & Syst Res IMSR,Univ Birmingham,England,"Yitka, Graham"
Abd,Tahrani,"Abd, Tahrani",Endocrinol & Diabet,Univ Hosp Birmingham NHS Fdn Trust,England,"Yitka, Graham"
Abd,Tahrani,"Abd, Tahrani",Ctr Endocrinol Diabet & Metab CEDAM,Birmingham Hlth Partners,England,"Yitka, Graham"
Violeta,Moize,"Violeta, Moize",Obes Unit,Hosp Clin Barcelona,Spain,"Yitka, Graham"
Angela,Leal,"Angela, Leal",Bariatr Surg,Christus Muguerza Conchita Hosp,Mexico,"Yitka, Graham"
Ritudhwaj,Tiwari,"Ritudhwaj, Tiwari",Discipline Biosci & Biomed Engn,Indian Inst Technol Indore,India,"Ujjwal, Neogi"
Anurag R,Mishra,"Anurag R, Mishra",Discipline Biosci & Biomed Engn,Indian Inst Technol Indore,India,"Ujjwal, Neogi"
Debasis,Nayak,"Debasis, Nayak",Discipline Biosci & Biomed Engn,Indian Inst Technol Indore,India,"Ujjwal, Neogi"
Flora,Mikaeloff,"Flora, Mikaeloff",Lab Med,Karolinska Inst,Sweden,"Ujjwal, Neogi"
Soham,Gupta,"Soham, Gupta",Lab Med,Karolinska Inst,Sweden,"Ujjwal, Neogi"
Ali,Mirazimi,"Ali, Mirazimi",Lab Med,Karolinska Inst,Sweden,"Ujjwal, Neogi"
Ujjwal,Neogi,"Ujjwal, Neogi",Lab Med,Karolinska Inst,Sweden,"Ujjwal, Neogi"
Ali,Mirazimi,"Ali, Mirazimi",Solna,Publ Hlth Agcy Sweden,Sweden,"Ujjwal, Neogi"
Ali,Mirazimi,"Ali, Mirazimi",Uppsala,Natl Vet Inst,Sweden,"Ujjwal, Neogi"
Siddappa N,Byrareddy,"Siddappa N, Byrareddy",Pharmacol & Expt Neurosci,Univ Nebraska Med Ctr,USA,"Ujjwal, Neogi"
Ujjwal,Neogi,"Ujjwal, Neogi",Mol Microbiol & Immunol,Univ Missouri,USA,"Ujjwal, Neogi"
Ujjwal,Neogi,"Ujjwal, Neogi",Bond Life Sci Ctr,Univ Missouri,USA,"Ujjwal, Neogi"
Desh Deepak,Singh,"Desh Deepak, Singh",Amity Inst Biotechnol,Amity Univ Rajasthan,India,"Eun Ha, Choi"
Ihn,Han,"Ihn, Han",Plasma Biosci Res Ctr,Kwangwoon Univ,Korea,"Eun Ha, Choi"
Eun Ha,Choi,"Eun Ha, Choi",Plasma Biosci Res Ctr,Kwangwoon Univ,Korea,"Eun Ha, Choi"
Dharmendra Kumar,Yadav,"Dharmendra Kumar, Yadav",Coll Pharm,Gachon Univ,Korea,"Eun Ha, Choi"
Dharmendra Kumar,Yadav,"Dharmendra Kumar, Yadav",Coll Pharm,Gachon Univ,Korea,"Eun Ha, Choi"
Acharya,Balkrishna,"Acharya, Balkrishna",Drug Discovery & Dev Div,Patanjali Res Inst,India,"Anurag, Varshney"
Sudeep,Verma,"Sudeep, Verma",Drug Discovery & Dev Div,Patanjali Res Inst,India,"Anurag, Varshney"
Siva Kumar,Solleti,"Siva Kumar, Solleti",Drug Discovery & Dev Div,Patanjali Res Inst,India,"Anurag, Varshney"
Lakshmipathi,Khandrika,"Lakshmipathi, Khandrika",Drug Discovery & Dev Div,Patanjali Res Inst,India,"Anurag, Varshney"
Anurag,Varshney,"Anurag, Varshney",Drug Discovery & Dev Div,Patanjali Res Inst,India,"Anurag, Varshney"
Acharya,Balkrishna,"Acharya, Balkrishna",Allied & Appl Sci,Univ Patanjali,India,"Anurag, Varshney"
Anurag,Varshney,"Anurag, Varshney",Allied & Appl Sci,Univ Patanjali,India,"Anurag, Varshney"
Santosh,Ansumali,"Santosh, Ansumali",Bangalore,Jawaharlal Nehru Ctr Adv Sci Res,India,"M, Vidyasagar"
Shaurya,Kaushal,"Shaurya, Kaushal",Bangalore,Jawaharlal Nehru Ctr Adv Sci Res,India,"M, Vidyasagar"
Meher K,Prakash,"Meher K, Prakash",Bangalore,Jawaharlal Nehru Ctr Adv Sci Res,India,"M, Vidyasagar"
Aloke,Kumar,"Aloke, Kumar",Bangalore,Indian Inst Sci,India,"M, Vidyasagar"
M,Vidyasagar,"M, Vidyasagar",Hyderabad,Indian Inst Technol Hyderabad India,India,"M, Vidyasagar"
Rajesh Kumar,Gupta,"Rajesh Kumar, Gupta",Dr DY Patil Biotechnol & Bioinformat Inst,Dr DY Patil Vidyapeeth Deemed Univ,India,"Rajesh Kumar, Gupta"
Girish R,Apte,"Girish R, Apte",Dr DY Patil Biotechnol & Bioinformat Inst,Dr DY Patil Vidyapeeth Deemed Univ,India,"Rajesh Kumar, Gupta"
Jayanta K,Pal,"Jayanta K, Pal",Dr DY Patil Biotechnol & Bioinformat Inst,Dr DY Patil Vidyapeeth Deemed Univ,India,"Rajesh Kumar, Gupta"
Kiran Bharat,Lokhande,"Kiran Bharat, Lokhande",Dr DY Patil Biotechnol & Bioinformat Inst,Dr DY Patil Vidyapeeth Deemed Univ,India,"Rajesh Kumar, Gupta"
Satyendra,Mishra,"Satyendra, Mishra",Engn & Phys Sci,Inst Adv Res,India,"Rajesh Kumar, Gupta"
Abhinav,Sinha,"Abhinav, Sinha",Bhubaneswar,ICMR Reg Med Res Ctr,India,"Srikanta, Kanungo"
Swetalina,Nayak,"Swetalina, Nayak",Bhubaneswar,ICMR Reg Med Res Ctr,India,"Srikanta, Kanungo"
Srikanta,Kanungo,"Srikanta, Kanungo",Bhubaneswar,ICMR Reg Med Res Ctr,India,"Srikanta, Kanungo"
Sanghamitra,Pati,"Sanghamitra, Pati",Bhubaneswar,ICMR Reg Med Res Ctr,India,"Srikanta, Kanungo"
Priyadarshini,Dehuri,"Priyadarshini, Dehuri",Pathol,Inst Med Sci,India,"Srikanta, Kanungo"
Priyadarshini,Dehuri,"Priyadarshini, Dehuri",Bhubaneswar,SUM Hosp,India,"Srikanta, Kanungo"
Vivek,Kumar,"Vivek, Kumar",Biotechnol,Motilal Nehru Natl Inst Technol,India,"Vishnu, Agarwal"
Vishnu,Agarwal,"Vishnu, Agarwal",Biotechnol,Motilal Nehru Natl Inst Technol,India,"Vishnu, Agarwal"
Sounik,Manna,"Sounik, Manna",Cent Res Facil,Indian Inst Technol Kharagpur,India,"Santi M, Mandal"
Trinath,Chowdhury,"Trinath, Chowdhury",Cent Res Facil,Indian Inst Technol Kharagpur,India,"Santi M, Mandal"
Santi M,Mandal,"Santi M, Mandal",Cent Res Facil,Indian Inst Technol Kharagpur,India,"Santi M, Mandal"
Piyush,Baindara,"Piyush, Baindara",Mol Microbiol & Immunol,Univ Missouri,USA,"Santi M, Mandal"
Akhil Kumar,Srivastav,"Akhil Kumar, Srivastav",Sch Adv Sci,Vellore Inst Technol,India,"Mini, Ghosh"
Mini,Ghosh,"Mini, Ghosh",Sch Adv Sci,Vellore Inst Technol,India,"Mini, Ghosh"
Pankaj Kumar,Tiwari,"Pankaj Kumar, Tiwari",Math,Univ Kalyani,India,"Mini, Ghosh"
Prashant K,Srivastava,"Prashant K, Srivastava",Math,Indian Inst Technol Patna,India,"Mini, Ghosh"
Yun,Kang,"Yun, Kang",Sci & Math Fac,Arizona State Univ Mesa,USA,"Mini, Ghosh"
Siddhartha,Dutta,"Siddhartha, Dutta",Pharmacol,All India Inst Med Sci,India,"Jaykaran, Charan"
Jaykaran,Charan,"Jaykaran, Charan",Pharmacol,All India Inst Med Sci,India,"Jaykaran, Charan"
Rimple Jeet,Kaur,"Rimple Jeet, Kaur",Pharmacol,SN Med Coll & Hosp,India,"Jaykaran, Charan"
Pankaj,Bhardwaj,"Pankaj, Bhardwaj",Community & Family Med,All India Inst Med Sci,India,"Jaykaran, Charan"
Sunil Kumar Singh,Bist,"Sunil Kumar Singh, Bist",Jodhpur,Med & Hlth,India,"Jaykaran, Charan"
Mohan Dan,Detha,"Mohan Dan, Detha",Block CMHO,COVID Care Ctr,India,"Jaykaran, Charan"
Tanuj,Kanchan,"Tanuj, Kanchan",Forens Med,All India Inst Med Sci,India,"Jaykaran, Charan"
Praveen,Sharma,"Praveen, Sharma",Biochem,All India Inst Med Sci,India,"Jaykaran, Charan"
Sanjeev,Misra,"Sanjeev, Misra",Jodhpur,All India Inst Med Sci,India,"Jaykaran, Charan"
Abdullahi Rabiu,Abubakar,"Abdullahi Rabiu, Abubakar",Fac Pharmaceut Sci,Bayero Univ,Nigeria,"Mainul, Haque"
Ibrahim Haruna,Sani,"Ibrahim Haruna, Sani",Coll Hlth Sci,Yusuf Maitama Sule Univ,Nigeria,"Mainul, Haque"
Brian,Godman,"Brian, Godman",Strathclyde Inst Pharm & Biomed Sci,Univ Strathclyde,Scotland,"Mainul, Haque"
Santosh,Kumar,"Santosh, Kumar",Periodontol & Implantol,Karnavati Univ,India,"Mainul, Haque"
Salequl,Islam,"Salequl, Islam",Microbiol,Jahangirnagar Univ,Bangladesh,"Mainul, Haque"
Iffat,Jahan,"Iffat, Jahan",Physiol,Eastern Med Coll,Bangladesh,"Mainul, Haque"
Mainul,Haque,"Mainul, Haque",Fac Med & Def Hlth,Natl Def Univ Malaysia,Malaysia,"Mainul, Haque"
Meenu,Gupta,"Meenu, Gupta",Comp Sci & Engn,Chandigarh Univ,India,"Akash, Gupta"
Rachna,Jain,"Rachna, Jain",Comp Sci & Engn,Bharati Vidyapeeths Coll Engn,India,"Akash, Gupta"
Akash,Gupta,"Akash, Gupta",Comp Sci & Engn,Bharati Vidyapeeths Coll Engn,India,"Akash, Gupta"
Kunal,Jain,"Kunal, Jain",Comp Sci & Engn,Bharati Vidyapeeths Coll Engn,India,"Akash, Gupta"
Avaneesh,Singh,"Avaneesh, Singh",Jabalpur 482005,PDPM Indian Inst Informat Technol Design & Mfg,India,"Avaneesh, Singh"
Saroj Kumar,Chandra,"Saroj Kumar, Chandra",Jabalpur 482005,PDPM Indian Inst Informat Technol Design & Mfg,India,"Avaneesh, Singh"
Manish Kumar,Bajpai,"Manish Kumar, Bajpai",Jabalpur 482005,PDPM Indian Inst Informat Technol Design & Mfg,India,"Avaneesh, Singh"
Avaneesh,Singh,"Avaneesh, Singh",Jabalpur 482005,PDPM Indian Inst Informat Technol Design & Mfg,India,"Avaneesh, Singh"
Manish Kumar,Bajpai,"Manish Kumar, Bajpai",Jabalpur 482005,PDPM Indian Inst Informat Technol Design & Mfg,India,"Avaneesh, Singh"
Mohammad,Zuber,"Mohammad, Zuber",Manipal Inst Technol,Manipal Acad Higher Educ,India,"Irfan Anjum, Badruddin"
John Valerian,Corda,"John Valerian, Corda",Manipal Inst Technol,Manipal Acad Higher Educ,India,"Irfan Anjum, Badruddin"
B Satish,Shenoy,"B Satish, Shenoy",Manipal Inst Technol,Manipal Acad Higher Educ,India,"Irfan Anjum, Badruddin"
Milad,Ahmadi,"Milad, Ahmadi",Fac Engn Technol,Univ Twente,Netherlands,"Irfan Anjum, Badruddin"
Irfan Anjum,Badruddin,"Irfan Anjum, Badruddin",Coll Engn,King Khalid Univ,Arabia,"Irfan Anjum, Badruddin"
Ali E,Anqi,"Ali E, Anqi",Coll Engn,King Khalid Univ,Arabia,"Irfan Anjum, Badruddin"
Sarfaraz,Kamangar,"Sarfaraz, Kamangar",Coll Engn,King Khalid Univ,Arabia,"Irfan Anjum, Badruddin"
Kamarul Arifin,Ahmad,"Kamarul Arifin, Ahmad",Aerosp Engn,Univ Putra Malaysia,Malaysia,"Irfan Anjum, Badruddin"
S M Abdul,Khader,"S M Abdul, Khader",Manipal Inst Technol,Manipal Acad Higher Educ,India,"Irfan Anjum, Badruddin"
Leslie,Lewis,"Leslie, Lewis",Paediat,Kasturba Med Coll & Hosp,India,"Irfan Anjum, Badruddin"
Mohammad Anas,Khan,"Mohammad Anas, Khan",Mech Engn,Jamia Millia Islamia,India,"Irfan Anjum, Badruddin"
Md H,Rahman,"Md H, Rahman",Pharm,Southeast Univ,Bangladesh,"Md H, Rahman"
Israt J,Bulbul,"Israt J, Bulbul",Pharm,Southeast Univ,Bangladesh,"Md H, Rahman"
Rokeya,Akter,"Rokeya, Akter",Pharm,Jagannath Univ,Bangladesh,"Md H, Rahman"
Tapan,Behl,"Tapan, Behl",Chitkara Coll Pharm,Chitkara Univ,India,"Md H, Rahman"
Md A R,Chowdhury,"Md A R, Chowdhury",Bioact Mat Sci,Jeonbuk Natl Univ,Korea,"Md H, Rahman"
Manirujjaman,Mohammed,"Manirujjaman, Mohammed",Brisbane,Queensland Univ Technol,Australia,"Md H, Rahman"
Shimaa E,Elshenawy,"Shimaa E, Elshenawy",Ctr Stem Cell & Regenerat Med,Zewail City Sci,Egypt,"Md H, Rahman"
Mohammad A,Kamal,"Mohammad A, Kamal",West China Hosp,Sichuan Univ,China,"Md H, Rahman"
Mohammad A,Kamal,"Mohammad A, Kamal",King Fahd Med Res Ctr,King Abdulaziz Univ,Arabia,"Md H, Rahman"
Mohammad A,Kamal,"Mohammad A, Kamal",7 Peterlee Pl,Enzymoics,Australia,"Md H, Rahman"
Mohammad A,Kamal,"Mohammad A, Kamal",Sydney,Novel Global Community Educ Fdn,Australia,"Md H, Rahman"
Peter J,Wilkin,"Peter J, Wilkin",Sch Human & Life Sci,Canterbury Christ Church Univ,England,"Cornelia M, Wilson"
Minnatallah,Al Yozbaki,"Minnatallah, Al Yozbaki",Sch Human & Life Sci,Canterbury Christ Church Univ,England,"Cornelia M, Wilson"
Alex,George,"Alex, George",Sch Human & Life Sci,Canterbury Christ Church Univ,England,"Cornelia M, Wilson"
Cornelia M,Wilson,"Cornelia M, Wilson",Sch Human & Life Sci,Canterbury Christ Church Univ,England,"Cornelia M, Wilson"
Peter J,Wilkin,"Peter J, Wilkin",Canterbury,Peter Wilkins Organ,England,"Cornelia M, Wilson"
Alex,George,"Alex, George",Jubilee Ctr Med Res,Jubilee Mission Med Coll & Res Inst,India,"Cornelia M, Wilson"
Girish K,Gupta,"Girish K, Gupta",Pharmaceut Chem,Sri Sai Grp Inst,India,"Cornelia M, Wilson"
Girish K,Gupta,"Girish K, Gupta",Hebersham,Novel Global Community Educ Fdn,Australia,"Cornelia M, Wilson"
Cornelia M,Wilson,"Cornelia M, Wilson",Hebersham,Novel Global Community Educ Fdn,Australia,"Cornelia M, Wilson"
Ramachandra R,Pamuru,"Ramachandra R, Pamuru",Biochem,Yogi Vemana Univ,India,"Ramakrishna, Vadde"
Naveen,Ponneri,"Naveen, Ponneri",Biochem,Yogi Vemana Univ,India,"Ramakrishna, Vadde"
Amooru G,Damu,"Amooru G, Damu",Chem,Yogi Vemana Univ,India,"Ramakrishna, Vadde"
Ramakrishna,Vadde,"Ramakrishna, Vadde",Biotechnol & Bioinformat,Yogi Vemana Univ,India,"Ramakrishna, Vadde"
Anupam,Dhasmana,"Anupam, Dhasmana",Sch Med,Univ Texas Rio Grande Valley,USA,"Subhash C, Chauhan"
Vivek K,Kashyap,"Vivek K, Kashyap",Sch Med,Univ Texas Rio Grande Valley,USA,"Subhash C, Chauhan"
Sudhir,Kotnala,"Sudhir, Kotnala",Sch Med,Univ Texas Rio Grande Valley,USA,"Subhash C, Chauhan"
Meena,Jaggi,"Meena, Jaggi",Sch Med,Univ Texas Rio Grande Valley,USA,"Subhash C, Chauhan"
Murali M,Yallapu,"Murali M, Yallapu",Sch Med,Univ Texas Rio Grande Valley,USA,"Subhash C, Chauhan"
Subhash C,Chauhan,"Subhash C, Chauhan",Sch Med,Univ Texas Rio Grande Valley,USA,"Subhash C, Chauhan"
Anupam,Dhasmana,"Anupam, Dhasmana",Himalayan Inst Med Sci,Swami Rama Himalayan Univ,India,"Subhash C, Chauhan"
Swati,Dhasmana,"Swati, Dhasmana",Sch Biotechnol,Gautam Buddha Univ,India,"Subhash C, Chauhan"
Shafiul,Haque,"Shafiul, Haque",Coll Nursing & Allied Hlth Sci,Jazan Univ,Arabia,"Subhash C, Chauhan"
Ghulam Md,Ashraf,"Ghulam Md, Ashraf",King Fahd Med Res Ctr,King Abdulaziz Univ,Arabia,"Subhash C, Chauhan"
Ghulam Md,Ashraf,"Ghulam Md, Ashraf",Fac Appl Med Sci,King Abdulaziz Univ,Arabia,"Subhash C, Chauhan"
Ranjan K,Mohapatra,"Ranjan K, Mohapatra",Chem,Govt Coll Engn,India,"Ranjan K, Mohapatra"
Mohammad,Azam,"Mohammad, Azam",Coll Sci,King Saud Univ,Arabia,"Ranjan K, Mohapatra"
V P,Saikishore,"V P, Saikishore",Chem,Centurion Univ Technol & Management,India,"Ranjan K, Mohapatra"
Susanta K,Biswal,"Susanta K, Biswal",Chem,Centurion Univ Technol & Management,India,"Ranjan K, Mohapatra"
Rimple Jeet,Kaur,"Rimple Jeet, Kaur",Pharmacol,Dr SN Med Coll,India,"Mainul, Haque"
Jaykaran,Charan,"Jaykaran, Charan",Pharmacol,All India Inst Med Sci,India,"Mainul, Haque"
Siddhartha,Dutta,"Siddhartha, Dutta",Pharmacol,All India Inst Med Sci,India,"Mainul, Haque"
Paras,Sharma,"Paras, Sharma",Pharmacognosy,BVM Coll Pharm,India,"Mainul, Haque"
Pankaj,Bhardwaj,"Pankaj, Bhardwaj",Community & Family Med,All India Inst Med Sci AIIMS,India,"Mainul, Haque"
Praveen,Sharma,"Praveen, Sharma",Biochem,All India Inst Med Sci AIIMS,India,"Mainul, Haque"
Halyna,Lugova,"Halyna, Lugova",Fac Med & Def Hlth,Natl Def Univ Malaysia,Malaysia,"Mainul, Haque"
Ambigga,Krishnapillai,"Ambigga, Krishnapillai",Fac Med & Def Hlth,Natl Def Univ Malaysia,Malaysia,"Mainul, Haque"
Salequl,Islam,"Salequl, Islam",Microbiol,Jahangirnagar Univ,Bangladesh,"Mainul, Haque"
Mainul,Haque,"Mainul, Haque",Univ Pertahanan,Nas Malaysia Natl Def Univ Malaysia,Malaysia,"Mainul, Haque"
Sanjeev,Misra,"Sanjeev, Misra",Jodhpur,All India Inst Med Sci AIIMS,India,"Mainul, Haque"
Priyanka,Priyanka,"Priyanka, Priyanka",Coll Vet Sci & Anim Husb,Cent Agr Univ I,India,
O P,Choudhary,"O P, Choudhary",Coll Vet Sci & Anim Husb,Cent Agr Univ I,India,
I,Singh,"I, Singh",Saharanpur 247554,Community Hlth Ctr,India,
C,Chakraborty,"C, Chakraborty",Sch Life Sci & Biotechnol,Adamas Univ,India,"C, Chakraborty"
C,Chakraborty,"C, Chakraborty",Inst Skeletal Aging & Orthoped Surg,Hallym Univ,Korea,"C, Chakraborty"
A R,Sharma,"A R, Sharma",Inst Skeletal Aging & Orthoped Surg,Hallym Univ,Korea,"C, Chakraborty"
M,Bhattacharya,"M, Bhattacharya",Inst Skeletal Aging & Orthoped Surg,Hallym Univ,Korea,"C, Chakraborty"
S S,Lee,"S S, Lee",Inst Skeletal Aging & Orthoped Surg,Hallym Univ,Korea,"C, Chakraborty"
G,Sharma,"G, Sharma",Coll Pharm,Kangwon Natl Univ,Korea,"C, Chakraborty"
G,Agoramoorthy,"G, Agoramoorthy",Coll Pharm & Hlth Care,Tajen Univ,Taiwan,"C, Chakraborty"
Stanislav R,Kurpe,"Stanislav R, Kurpe",Inst Prot Res,Russian Acad Sci,Russia,"Oxana V, Galzitskaya"
Sergei Yu,Grishin,"Sergei Yu, Grishin",Inst Prot Res,Russian Acad Sci,Russia,"Oxana V, Galzitskaya"
Alexey K,Surin,"Alexey K, Surin",Inst Prot Res,Russian Acad Sci,Russia,"Oxana V, Galzitskaya"
Alexander V,Panfilov,"Alexander V, Panfilov",Inst Prot Res,Russian Acad Sci,Russia,"Oxana V, Galzitskaya"
Mikhail V,Slizen,"Mikhail V, Slizen",Inst Prot Res,Russian Acad Sci,Russia,"Oxana V, Galzitskaya"
Oxana V,Galzitskaya,"Oxana V, Galzitskaya",Inst Prot Res,Russian Acad Sci,Russia,"Oxana V, Galzitskaya"
Alexey K,Surin,"Alexey K, Surin",Branch Inst Bioorgan Chem,Russian Acad Sci,Russia,"Oxana V, Galzitskaya"
Alexey K,Surin,"Alexey K, Surin",Obolensk 142279,State Res Ctr Appl Microbiol & Biotechnol,Russia,"Oxana V, Galzitskaya"
