name,type
Gujarat State Organ & Tissue Transplant Org,Hospital
Indian Inst Sci Educ & Res IISER Bhopal,Institute
Zoram Med Coll,College
Mizoram Univ,University
BIT Sindri,College
Tezpur Univ,University
Delhi NCR,Others
Lala Lajpat Rai Mem Med Coll,College
Natl Inst Pharmaceut Educ & Res NIPER,Institute
Kharagpur Coll,College
Sabang Sajanikanta Mahavidyalaya,College
IIT,College
Turiya Innovat Pvt Ltd,Others
AIIMS,Institute
Sir Ganga Ram Hosp,Hospital
Jamia Hamdard,University
CCRUM,Institute
Odisha Univ Agr & Technol,University
Srirama Chandra Bhanja Med Coll & Hosp,College
Gujarat Forens Sci Univ,University
Indian Inst Technol Delhi,Institute
North Eastern Hill Univ,University
Indian Inst Sci,Institute
Leucine Rich Bio Pvt Ltd,Others
Rajiv Gandhi Canc Inst & Res Ctr,Institute
SAHAYOG,Institute
COPASAH Sexual & Reprod Rights Hub,Others
Max Inst Canc Care,Institute
Max Super Special Hosp,Hospital
Canc Inst WIA,Institute
Tirupati Eye & Res Ctr,Research
ICMR Natl JALMA Inst Leprosy & Other Mycobacteria,Institute
Maharaja Sayajirao Univ Baroda,University
LM Coll Pharm,College
Parul Univ,University
Erode Arts & Sci Coll,College
Sree Krishna Coll Guruvayur,College
Global Healthcare Consulting,Research
Univ Petr & Energy Studies,University
SASTRA Deemed Univ,University
Indian Inst Technol Jodhpur,Institute
CSIR Indian Inst Chem Biol,Institute
Karpagam Acad Higher Educ,Academy
Inst Liver & Biliary Sci,Institute
Univ New South Wales,University
Homi Bhabha Natl Inst,Institute
Shree Guru Gobind Singh Tricentenary Univ,University
Indrayani Canc Hosp,Hospital
Uttaranchal Univ,University
Lovely Profess Univ,University
Mahatma Gandhi Coll Pharmaceut Sci,College
Shoolini Univ Biotechnol & Management Sci,University
Maharshi Dayanand Univ,University
Suresh Gyan Vihar Univ,University
AIIMS Bhubaneswar,Institute
PGIMER,Institute
MMU Deemed Be Univ,University
Capital Hosp,Hospital
AIIMS New Delhi,Institute
George Inst Global Hlth,Institute
Prasanna Sch Publ Hlth,School
Shri Gopichand Coll Pharm,College
Postgrad Inst Med Educ & Res,Institute
Vidyasagar Univ,University
Translat Hlth Sci & Technol Inst THSTI,Institute
Cent Univ Haryana,University
Dr NTR Univ Hlth Sci,University
Rainbow Childrens Hosp,Hospital
Inst Seismol Res,Institute
Natl Geophys Res Inst,Institute
Dibrugarh Univ,University
Dr DY Patil Vidyapeeth,Research
Indian Inst Integrat Med,Institute
Inst Genom & Integrat Biol,Institute
Delhi Technol Univ,University
Management Dev Inst,Institute
Bharati Vidyapeeth Deemed Univ,University
Univ Calcutta,University
Vasant Kanya Mahavidyalaya,College
Indian Inst Technol Roorkee,Institute
Adhiparashakthi Dent Coll & Hosp,College
SRM Inst Sci & Technol,Institute
SGT Univ,University
Ragas Dent Coll & Hosp,College
KIIT Univ,University
PES Univ,University
Jagadguru Sri Shivarathreeshwara Acad Higher Educ,Academy
Natl Inst Immunol,Institute
Birla Inst Technol & Sci,Institute
SmartBio Labs,Research
HLM Grp Inst,Institute
Sastra Deemed Univ,University
MAX Superspecialty Hosp,Hospital
NH Mazumdar Shaw Med Ctr,Research
Christian Med Coll & Hosp,College
Dr Ram Manohar Lohia Hosp & Atal Bihari Vajpayee,Hospital
Madras ENT Res Fdn MERF,Research
MERF Inst Speech & Hearing P Ltd,Institute
Neuberg Labs,Research
DY Patil Dent Sch,School
Indira Gandhi Inst Dent Sci,Institute
Oxford Dent Coll,College
Sri Venkateshwaraa Dent Coll,College
VSPM Dent Coll,College
Sanjay Gandhi Post Grad Inst Med Sci SGPGIMS,Institute
Super Special Paediat Hosp & Postgrad Teaching In,Hospital
Sir GangaRam Hosp,Hospital
Swami Rama Himalayan Univ,University
HIHT Univ,University
Maulana Azad Med Coll,College
WHO,Others
Natl Capital Reg NCR Biotech Sci Cluster,Others
Indiragandhi Inst Child Hlth,Institute
Sri Sathya Sai Cent Trust,Others
Kannur Univ,University
Indian Inst Technol Gandhinagar,Institute
Natl Inst Technol Tiruchirappalli,Institute
Exper Technol,Others
Crowcon,Hospital
Swathanthra Malayalam Comp,Others
APJ Abdul Kalam Tech Univ,University
Indian Inst Technol Mandi,Institute
Sidho Kanho Birsha Univ,University
Indian Inst Technol IIT,Institute
PVNRTVU,University
Maharshi Dayanand Univ MDU,University
Amity Int Sch,School
Intas Pharmaceut,Others
Lokmanya Tilak Municipal Med Coll & Gen Hosp,College
Kasi Clin,Hospital
Guru Gobind Singh Med Coll,College
Lady Hardinge Med Coll & Hosp,College
Kanchi Kamakoti Childs Trust Hosp,Hospital
MKCG MCH,Institute
Dr Abhay K Shah Children Hosp,Hospital
Fortis Hosp,Hospital
Marathe Child Care Hosp,Hospital
Gouri Devi Inst Med Sci & Hosp,Institute
Aditya Super Special Hosp,Hospital
Bakul Parekh Hosp Children,Hospital
IGICH,Institute
Univ Coll Med Sci,College
Babylons Newton Child Dev & Support Ctr,Research
Rama Med Coll Hosp & Res Ctr,College
Manipal Acad Hlth & Educ,Academy
Kokilaben Dhirubhai Ambani Hosp,Hospital
Hind Inst Med Sci,Institute
Asha Child Care & Dev Clin,Hospital
Om Pediat Multispecial Hosp,Hospital
Sanjay Gandhi Postgrad Inst,Institute
Adolescent Clin,Hospital
Kanetkar Inst Comp & Informat Technol,Institute
Podar Educ Network,School
Indira Gandhi Cooperat Hosp,Hospital
Amrita Inst Med Sci & Res Ctr,Institute
Indira Gandhi Inst Child Hlth,Institute
GTB Hosp,Hospital
Jawaharlal Inst Postgrad Med Educ & Res JIPMER,Institute
Govt Med Coll & Hosp,College
Dept Pediat,Hospital
Natl Inst Sci Educ & Res,Institute
Indian Inst Sci Educ & Res,Institute
Bikashs Quantum OPC Pvt Ltd,Others
Indian Inst Sci Educ & Res Kolkata,Institute
Inst Psychiat IOP,Institute
Univ Burdwan,University
Integral Univ,University
Prin KM Kundnani Coll Pharm,College
Chief Med Hlth Officer CMHO,Others
Joint Initiat Indian Inst Sci Educ & Res IISER Pu,Institute
SMS Med Coll & Attached Hosp,College
Apollo Hosp,Hospital
Jadavpur Univ,University
Behav Insights Architecture & Strategy BIAS,Others
Monk Prayogshala,Research
Meghnad Desai Acad Econ,Academy
SRMIST,University
MS Ramaiah Inst Technol,Institute
MS Ramaiah Univ Appl Sci,University
Siddaganga Inst Technol,Institute
360 Diagnost & Hlth Serv,Hospital
Noodle Analyt Pvt Ltd,Others
Valerian Chem Pvt Ltd,Others
Bhaktshreshtha Kamalakarpant Laxman Walawalkar Ru,Research
Smt Kashibai Navale Med Coll & Gen Hosp,College
Pushpagiri Inst Med Sci & Res Ctr,Institute
NDMC Med Coll & Hindu Rao Hosp,College
Mahatma Gandhi Med Coll & Hosp,College
Narayana Super Special Hosp,Hospital
Regency Super Special Hosp,Hospital
Columbia Asia Referral Hosp,Hospital
PSRI Hosp,Hospital
UR Anoop Res Grp,Research
Sri Balaji Vidyapeeth Deemed Univ,University
Pondicherry Cent Univ,University
Dr LalPathlabs Natl Reference Lab,Others
Indian Inst Sci Educ & Res Bhopal,Institute
Bennett Univ,University
Manipal Univ Jaipur,University
Natl Inst Technol Hamirpur,Institute
M Viswanathan Hosp Diabet,Hospital
Annus Hosp Skin & Diabet,Hospital
Visvesvaraya Natl Inst Technol,Institute
Indraprastha APOLLO Hosp,Hospital
Piramal Swasthya Management & Res Inst,Institute
Nference Labs,Others
Indian Inst Management Udaipur,Institute
AU KBC Res Ctr,Research
Ctr Cellular & Mol Biol,Research
SP Jain Inst Management & Res,Institute
Stella Maris Coll Autonomous,College
Karunya Inst Technol & Sci,Institute
CSIR IHBT,Institute
AcSIR,Research
JAYPEE Univ Engn & Technol,University
DAV Univ,University
GNDU,University
THSTI,Institute
Assam Univ,University
Cent Food Technol Res Inst,Institute
Mahatma Gandhi Univ,University
Indian Spinal Injuries Ctr,Research
Sir HN Reliance Fdn Hosp,Hospital
Grant Med Coll,College
Sir JJ Hosp,Hospital
Sir HN Reliance Hosp,Hospital
Ganga Hosp,Hospital
CSIR Indian Inst Integrat Med IIIM,Institute
Kazi Nazrul Univ,University
Dr Umayal Ramanathan Coll Women,College
ICAR Cent Res Inst Dryland Agr,Institute
Acharya NG Ranga Agr Univ,University
Univ Hyderabad,University
Anticlock Clin,Hospital
Vanila Dermol,Others
Indian Inst Sci Educ & Res IISER,Institute
Seth GS Med Coll & KEM Hosp,College
Rajiv Gandhi Ctr Biotechnol,Research
Govt NSCB Med Coll,College
CSIR Indian Inst Integrat Med,Institute
Natl Inst Pharmaceut Educ & Res NIPER Guwahati,Institute
Khyati Coll Pharm,College
Rungta Coll Pharmaceut Sci & Res,College
Jethwani Hosp,Hospital
Diacare Diabet Care & Hormone Clin,Hospital
Jothydevs Diabet Res Ctr,Research
Bharati Hosp,Hospital
Ruby Hall Clin,Hospital
Diabet Care Clin,Hospital
North Bengal Med Coll,College
Chitkara Univ,University
Pathfinder Res & Training Fdn,Research
Vidyasagar Coll,College
Pondicherry Univ,University
Natl Ctr Cell Sci,Research
Trident Acad Creat Technol,Academy
Baba Farid Univ Hlth Sci,University
Jairam Arts & Sci Coll,College
Kandaswami Kandars Coll,College
Govt Arts Coll Men,College
Kulkarni Reconstruct Urol Ctr,Research
Jubilee Mission Med Coll & Res Ctr,College
Kalinga Inst Ind Technol KIIT,Institute
Inst Nucl Med & Allied Sci INMAS,Institute
Indian Inst Technol Guwahati,Institute
Cent Univ Gujarat,University
Assam Royal Global Univ,University
Univ Allahabad,University
Univ Kerala,University
Dassault Syst India Pvt Ltd,Others
English & Foreign Languages Univ,University
Burdwan Med Coll & Hosp,College
AIIMS Jodhpur,Institute
Apollo Gleneagles Hosp,Hospital
Lakshya Soc Publ Hlth Educ & Res,Research
Tata Energy Res Inst TERI,Institute
B J Wadia Hosp Children,Hospital
Bai Jerbai Wadia Hosp Children,Hospital
Mumbai Port Trust Hosp,Hospital
CRSGPP,College
Netaji Subhash Chandra Bose Govt Med,College
Netaji Subhash Chandra Bose Govt Med Coll,College
Coll Vet & Anim Sci,College
Amity Univ Uttar Pradesh AUUP,University
nference Labs,Others
Indian Agr Res Inst,Institute
Chaudhary Charan Singh Univ,University
Chettinad Dent Coll & Res Inst,Institute
Saveetha Univ,University
Punjab Agr Univ,University
BJ Med Coll & Civil Hosp,College
Pandit DeenDayal Upadhyaya PashuChikitsa Vigyan V,University
Govt Coll Engn,College
IIT Jodhpur,University
Natl Inst Plant Genome Res,Institute
Ambedkar Univ Delhi,University
Indian Inst Technol Hyderabad,Institute
Natl Inst Technol Warangal,Institute
Maulana Azad Natl Inst Technol,Institute
Indian Inst Technol Indore,Institute
Sam Higginbottom Univ Agr Technol & Sci,University
Koneru Lakshmaiah Educ Fdn,University
Panimalar Med Coll Hosp & Res Inst,Institute
Panimalar Coll Nursing,College
Panimalar Med Coll Hosp & Res,College
St Pius X Coll Rajapuram,College
RV Coll Engn,College
Ashoka Univ,University
Indian Inst Technol Indore IITI,Institute
Wockhardt Hosp,Hospital
St Isabels Hosp,Hospital
Dept Minimal Access Surg,Noneo
Era Univ,University
Eras Lucknow Med Coll Hosp,College
North Delhi Municipal Corp Med Coll & Hindu Rao H,College
LTM Med Coll & Gen Hosp,College
KPC Med Coll & Hosp,College
Sujala Polyclin,Hospital
Clin Dermatech,Hospital
Indian Stat Inst,Institute
IIT Madras,University
Natl Inst Adv Studies,Institute
Univ Kashmir,University
Bombay Hosp & Med Res Ctr,Hospital
Epilepsy Fdn India,Others
Chengalpattu Med Coll & Hosp,College
Indian Inst Sci Educ & Res IISER Tirupati,Institute
Indian Inst Technol IIT Tirupati,Institute
SGT Med Coll,College
Indian Inst Technol Kanpur,Institute
Indian Vet Res Inst,Institute
NRI Inst Res & Technol,Institute
Oriental Inst Sci & Technol,Institute
Agricure Biotech Res Soc,Research
Govt Jammu & Kashmir,Others
Indira Gandhi Natl Open Univ IGNOU,University
Madras Med Coll & Govt Gen Hosp,College
Cent Drug Res Inst,Institute
Acad Sci & Innovat Res,Academy
Int Inst Hlth Management Res,Institute
Azim Premji Univ,University
Avinashilingam Inst Home Sci & Higher Educ Women,Institute
Farmers Bio Fertilizers & Organ,Others
Bharath Univ,University
Cent Univ Nagaland,University
Thiruvalluvar Univ,University
Vis Res Fdn,Research
Sri Venkateswara Coll Engn,College
Nichi In Ctr Regenerat Med,Research
Gautam Buddha Univ,University
Smriti Coll Pharmaceut Educ,College
Matoshri Inst Pharm,Institute
Inst Integrat Om & Appl Biotechnol IIOAB,Institute
IQVIA,Research
Univ Gour Banga,University
Patanjali Res Fdn Trust,Research
Univ Patanjali,University
Sree Chitra Tirunal Inst Med Sci & Technol SCTIMS,Institute
St Johns Natl Acad Hlth Sci,Academy
Indian Inst Technol Madras,Institute
CSIR Cent Drug Res Inst,Institute
Sardar Patel Coll Pharm,College
SGPGIMS,College
Indian Council Med Res Natl AIDS Res Inst,Institute
Natl Brain Res Ctr NBRC,Research
North Bengal Med Coll & Hosp,College
Paramitha Children Hosp,Hospital
Natl Inst Med Sci,Institute
Kokilaben Dhirubhai Ambani Hosp & Med Res Inst,Institute
Univ Mysore,University
Nova IVF Fertil,Hospital
Fortis CDOC Hosp,Hospital
Natl Diabet Obes & Cholesterol Fdn,Hospital
Diabet Fdn India,Others
Ramakrishna Mission Vivekananda Centenary Coll,College
Uluberia Coll,College
HBNI Univ,University
Fortune Inst Int Business,Institute
Indian Inst Management IIM Raipur,Institute
CAPFs Composite Hosp,Hospital
Amity Univ Haryana,University
ICMR Natl Inst Pathol,Institute
Dr Reddys Inst Life Sci,Institute
Pallium India,Others
SPS Hosp,Hospital
Manav Rachna Int Inst Res & Studies,Institute
Barrackpore Rastraguru Surendranath Coll,College
Raiganj Univ,University
Greater Chennai Corp,Others
Indian Inst Management Jammu,Institute
Indira Global Business Sch,School
Marathwada Mitra Mandals Coll Commerce,College
Natl Atmospher Res Lab NARL,Research
Jaypee Univ Informat Technol,University
CSIR Inst Genom & Integrat Biol,Institute
PSIT,College
JIS Univ,University
NIT,University
VNIT,University
Max Superspecial Hosp,Hospital
MV Ctr Diabet,Research
MV Hosp Diabetes,Hospital
M Viswanathan Diabet Res Ctr,Research
Univ Kalyani,University
Serampore Coll,College
IIEST,University
Shri Mata Vaishno Devi Univ,University
Birbal Sahni Inst Palaeosci,Institute
SRM Dent Coll,College
Bharati Vidyapeeths Coll Engn,College
Vellore Inst Technol,Institute
Dr BC Roy Engn Coll,College
CSIR Indian Inst Toxicol Res,Institute
MNR Dent Coll & Hosp,College
Univ Hyderabad Campus,University
Malla Reddy Med Coll Women,College
Medanta Medicity,Hospital
Max Super Special Hosp Saket,Hospital
Amrita Inst,Institute
Aster Medicity,Hospital
Aster CMI Hosp,Hospital
SGPGI,College
Gleneagles Global Hosp,Hospital
Kauvery Hosp,Hospital
Dr Rela Inst & Med Ctr,Institute
Bombay Hosp Inst Med Sci,Institute
GB Pant Inst Post Grad Med Educ & Res,Institute
Dayanand Med Coll,College
Pandit Deendayal Petr Univ,University
Govt PG Coll,College
GLA Univ,University
Delhi Pharmaceut Sci & Res Univ DPSRU,University
Adichunchanagiri Univ,University
Guru Nanak Dev Univ,University
SMS Med Coll & Hosp,College
Indian Sch Mines,School
Siksha O Anusandhan Univ,University
Sambalpur Univ,University
Modern Inst Technol,Institute
Saha Inst Nucl Phys,Institute
Homi Bhaba Natl Inst,Institute
Saha Inst Nucl Phys HBNI,Institute
Maharishi Markandeshwar Univ,University
Natl Inst Tech Teachers Training & Res,Institute
Siksha O Anusandhan Deemed Be Univ,University
MCKV Inst Engn,Institute
Jaypee Inst Informat Technol,Institute
Larsen & Toubro Infotech,Others
Burdwan Med Coll,College
40 Jadunath Sarbovouma Lane,Others
Max Hlth Care Inst,Institute
PD Hinduja Natl Hosp & Med Res Ctr,Hospital
Govt Uttar Pradesh,Others
HNB Garhwal Univ,University
ISF Coll Pharm,College
King Georges Med Univ KGMU,University
WHO Reg Off South East Asia,Others
Bharath Inst Higher Educ & Res,Institute
SRM Med Coll Hosp & Res Ctr,College
Natl Fdn Liver Res,Research
SVKMS NMIMS,University
Global Inst Pharmaceut Educ & Res,Institute
Sree Narayana Coll,College
Ctr Dis Dynam Econ & Policy,Research
Govt Tamil Nadu,Others
Guntur Med Coll,College
Govt Andhra Pradesh,Others
Amity Univ Rajasthan,University
West Bengal State Univ,University
Aliah Univ,University
Netaji Subhas Inst Technol,Institute
MGM Muthoot Hosp Pathanamthitta,Hospital
CRAFT Hosp & Res Ctr,Hospital
Jawaharlal Inst Postgrad Med Educ & Res,Institute
Maharaja Krushna Chandra Gajapati Med Coll,College
Manipal Univ,University
Kalasalingam Acad Res & Educ,Academy
BS Abdur Rahman Crescent Inst Sci & Technol,Institute
Saral Diagnost,Hospital
Adamas Univ,University
Fakir Mohan Univ,University
Pingla Thana Mahavidyalaya,University
Super Special Pediat Hosp & Post Grad Teaching In,Hospital
Agrevolution Pvt Ltd,Others
Tata Inst Social Sci,Institute
Bihar State Pollut Control Board,Others
Mahavir Canc Inst & Res Ctr,Institute
Patanjali Chikitsalya,Others
Patanjali Res Inst,Institute
Indian Inst Technol IIT Roorkee,Institute
Indian Inst Technol IIT Delhi,Institute
Natl Inst Technol Patna,Institute
Periyar Univ,University
Clin Brain Neuropsychiat Inst & Res Ctr,Institute
Indian Psychiat Soc,Others
Govt Karnataka,Others
NIMHANS,Institute
Anand Hosp & Eye Ctr,Hospital
Ctr Sight Grp Eye Hosp,Hospital
BHU,University
Purulia Govt Med Coll & Hosp,College
SHKM Govt Med Coll,College
LV Prasad Eye Inst,Institute
Optometry Council India,Others
Inst Math Sci,Institute
Aravind Eye Hosp & Postgrad Inst Ophthalmol,Institute
Dr Shroffs Char Eye Hosp,Hospital
Pioneer Medilaser Pvt Ltd,Others
Insight Vision Fdn,Others
Goa Med Coll,College
Karnataka Inst Med Sci,Institute
Delhi Pharmaceut Sci & Res Univ,University
Composite Reg Ctr Persons Disabil,Research
Hindustan Inst Technol & Sci,Institute
Sri Sivasubramaniya Nadar Coll Engn,College
Natl Inst Res TB,Institute
Kongunadu Arts & Sci Coll,College
ICMR Natl Inst Occupat Hlth,Institute
BMS Coll Engn,College
Vidya Siri Coll Pharm,College
IIT BHU Varanasi,University
Dayalbagh Educ Inst,Institute
Malaviya Natl Inst Technol,Institute
CSIR Natl Chem Lab,Others
Bose Inst,Institute
Govt Yoga & Naturopathy Med Coll & Hosp,College
Assam Town Univ,University
Dr Chandramma Dayananda Sagar Inst Med Educ & Res,Institute
Guru Gobind Singh Indraprastha Univ,University
GGS Indraprastha Univ,University
PRIST Deemed Univ,University
REVA Univ,University
Inst Social & Econ Change ISEC Bangalore,Institute
MG Univ,University
SRM Univ AP,University
Inst Bioresources & Sustainable Dev IBSD,Institute
Pentamed Hosp,Hospital
Indian Inst Management,Institute
MediCiti Med Coll,College
Galgotias Univ,University
State Bank Inst Credit & Risk Management,Institute
State Bank Inst Leadership,Institute
BBSBE Coll,College
Chandigarh Univ,University
SN Med Coll & Hosp,College
Nirma Univ,University
Ramnarain Ruia Autonomous Coll,College
Vinayaka Mission Res Fdn,Research
Birla Inst Technol,Institute
Indian Inst Bombay,Institute
DY Patil Univ,University
Inst Bioinformat & Appl Biotechnol IBAB,Institute
Natl Inst Technol Karnataka,Institute
BW Lions Superspecial Eye Hosp,Hospital
Def Res & Dev Org,Research
Indian Inst Informat Technol Design & Mfg,Institute
Vivek Coll Tech Educ,College
JC Bose Univ Sci & Technol,University
Samsung India Pvt Ltd,Others
Krishna Univ,University
Sri Krishna Coll Engn & Technol,College
Adikavi Nannaya Univ,University
PSG Inst Technol & Appl Res,Institute
Kerala Univ Hlth Sci,University
Grace Coll Pharm,College
SHUATS,University
Guru Ghasidas Univ,University
Kurukshetra Univ,University
Cooch Behar Panchanan Barma Univ,University
Govt Gujarat,Others
GIZ India Off,Others
Shri Ramswaroop Mem Univ,University
Babasaheb Bhimrao Ambedkar Univ,University
Int Food Policy Res Inst,Institute
FHI Solut,Others
Univ Rajasthan,University
Dr APJ Abdul Kalam Tech Univ,University
Govt Med Coll Kota,College
Uttar Pradesh Univ Med Sci,University
GITAM,University
Minist Hlth & Family Welf,Others
West Bengal Univ Anim & Fishery Sci,University
Dr Hari Singh Gour Vishwavidyalaya,University
Natl Inst Technol Raipur,Institute
Univ Coll Med Sci Delhi,College
Sharda Univ,University
IILM Coll Engn Technol,College
Yogi Vemana Univ,University
ICAR Natl Rice Res Inst,Institute
Reg Canc Ctr Trivandrum,Research
ICMR Natl Inst Cholera & Enter Dis,Institute
Pondicherry Inst Med Sci,Institute
NMIMS Univ,University
Univ Agr Sci,University
Sushrut ENT Hosp,Hospital
Dr Khans ENT Res Ctr,Research
Magadh Univ,University
Asansol Girls Coll,College
Command Hosp,Hospital
Natl Inst Malaria Res,Institute
Natl Inst Technol Srinagar,Institute
Prof M Viswanathan Diabet Res Ctr,Research
SV Natl Inst Technol SVNIT,Institute
Jaslok Hosp & Res Ctr,Hospital
Shiv Nadar Univ,University
Bal Krishna Inst Technol,Institute
Career Point Univ,University
VBSPU,University
Rajasthan Tech Univ,University
Veer Surendra Sai Univ Technol,University
Aditya Inst Technol & Management,Institute
Triveni Devi Bhalotia Coll,College
City Coll,College
SL Raheja Hosp,Hospital
Graph Era Deemed Univ,University
Ravenshaw Univ,University
NGF Coll Engn & Technol,College
Proteininsights,Institute
Gauhati Univ,University
Indian Inst Management Bodh Gaya,Institute
Indian Inst Management Lucknow,Institute
Indian Inst Management Rohtak,Institute
Soban Singh Jeena Univ,University
Kumaun Univ,University
Sona Coll Arts & Sci,College
MGR Coll,College
Priyadarshini JL Coll Pharm,College
Gurunanak Coll Pharm,College
MAHE,Academy
Acad Family Phys India AFPI,Academy
BITS Pilani,University
Bangalore Univ,University
Univ North Bengal,University
Indian Inst Informat Technol Allahabad,Institute
Majlis Arts & Sci Coll,College
MES Coll Marampally,College
Providence Womens Coll,College
Pushpagiri Inst Med Sci & Res,Institute
Natl Inst Pharmaceut Educ & Res,Institute
JECRC Univ Jaipur,University
BKL Walawalkar Rural Med Coll,College
MMU Med Coll,College
Inst Nucl Med & Allied Sci,Institute
Council Sci & Ind Res Inst Himalayan Bioresource,Institute
Translat Hlth Sci & Technol Inst,Institute
