first_name,last_name,full_name,department,organization,country,leader,times_cited,team_id,position,api_name
Pio,Zeppa,"Pio, Zeppa",Med & Surg,Univ Salerno,Italy,"Giancarlo, Troncone",6,5,last,Pio
Nitya,Rao,"Nitya, Rao",Sch Int Dev,Univ East Anglia,England,"Nitya, Rao",1,6,"first, leader",Nitya
Nivedita,Narain,"Nivedita, Narain",New Delhi,Profess Assistance Dev Act PRADAN,India,"Nitya, Rao",1,6,other,Nivedita
Shuvajit,Chakraborty,"Shuvajit, Chakraborty",New Delhi,Profess Assistance Dev Act PRADAN,India,"Nitya, Rao",1,6,other,Shuvajit
Arundhita,Bhanjdeo,"Arundhita, Bhanjdeo",New Delhi,Profess Assistance Dev Act PRADAN,India,"Nitya, Rao",1,6,other,Arundhita
Ayesha,Pattnaik,"Ayesha, Pattnaik",New Delhi,Profess Assistance Dev Act PRADAN,India,"Nitya, Rao",1,6,other,Ayesha
Nivedita,Narain,"Nivedita, Narain",Graham Ctr Agr Innovat,Alliance Charles Sturt Univ,Australia,"Nitya, Rao",1,6,other,Nivedita
Arundhita,Bhanjdeo,"Arundhita, Bhanjdeo",Graham Ctr Agr Innovat,Alliance Charles Sturt Univ,Australia,"Nitya, Rao",1,6,other,Arundhita
Nivedita,Narain,"Nivedita, Narain",Bathurst,NSW Dept Primary Ind,Australia,"Nitya, Rao",1,6,other,Nivedita
Arundhita,Bhanjdeo,"Arundhita, Bhanjdeo",Bathurst,NSW Dept Primary Ind,Australia,"Nitya, Rao",1,6,last,Arundhita
Ashutosh,Kumar,"Ashutosh, Kumar",New Delhi,Etiol Elus Disorders Res Network EEDRN,India,"Ashutosh, Kumar",32,8,"first, leader",Ashutosh
Pranav,Prasoon,"Pranav, Prasoon",New Delhi,Etiol Elus Disorders Res Network EEDRN,India,"Ashutosh, Kumar",32,8,other,Pranav
Prakash S,Sekhawat,"Prakash S, Sekhawat",New Delhi,Etiol Elus Disorders Res Network EEDRN,India,"Ashutosh, Kumar",32,8,other,Prakash
Vikas,Pareek,"Vikas, Pareek",New Delhi,Etiol Elus Disorders Res Network EEDRN,India,"Ashutosh, Kumar",32,8,other,Vikas
Muneeb A,Faiq,"Muneeb A, Faiq",New Delhi,Etiol Elus Disorders Res Network EEDRN,India,"Ashutosh, Kumar",32,8,other,Muneeb
Chiman,Kumari,"Chiman, Kumari",New Delhi,Etiol Elus Disorders Res Network EEDRN,India,"Ashutosh, Kumar",32,8,other,Chiman
Ravi K,Narayan,"Ravi K, Narayan",New Delhi,Etiol Elus Disorders Res Network EEDRN,India,"Ashutosh, Kumar",32,8,other,Ravi
Maheswari,Kulandhasamy,"Maheswari, Kulandhasamy",New Delhi,Etiol Elus Disorders Res Network EEDRN,India,"Ashutosh, Kumar",32,8,other,Maheswari
Kamla,Kant,"Kamla, Kant",New Delhi,Etiol Elus Disorders Res Network EEDRN,India,"Ashutosh, Kumar",32,8,other,Kamla
Ashutosh,Kumar,"Ashutosh, Kumar",Anat,All India Inst Med Sci AIIMS,India,"Ashutosh, Kumar",32,8,leader,Ashutosh
Ravi K,Narayan,"Ravi K, Narayan",Anat,All India Inst Med Sci AIIMS,India,"Ashutosh, Kumar",32,8,other,Ravi
Pranav,Prasoon,"Pranav, Prasoon",Sch Med,Univ Pittsburgh,USA,"Ashutosh, Kumar",32,8,other,Pranav
Prakash S,Sekhawat,"Prakash S, Sekhawat",Hematol,Nil RatanSircar Med Coll & Hosp NRSMCH,India,"Ashutosh, Kumar",32,8,other,Prakash
Vikas,Pareek,"Vikas, Pareek",Manesar,Natl Brain Res Ctr,India,"Ashutosh, Kumar",32,8,other,Vikas
Muneeb A,Faiq,"Muneeb A, Faiq",Langone Hlth Ctr,NYU,USA,"Ashutosh, Kumar",32,8,other,Muneeb
Chiman,Kumari,"Chiman, Kumari",Anat,Postgrad Inst Med Educ & Res PGIMER,India,"Ashutosh, Kumar",32,8,other,Chiman
Maheswari,Kulandhasamy,"Maheswari, Kulandhasamy",Biochem,Maulana Azad Med Coll MAMC,India,"Ashutosh, Kumar",32,8,other,Maheswari
Kamla,Kant,"Kamla, Kant",Microbiol,All India Inst Med Sci AIIMS,India,"Ashutosh, Kumar",32,8,last,Kamla
Kranti Suresh,Vora,"Kranti Suresh, Vora",Gandhinagar Chiloda Highway,Indian Inst Publ Hlth Gandhinagar,India,"Senthilkumar, Natesan",2,16,first,Kranti
Aarthi,Sundararajan,"Aarthi, Sundararajan",Gandhinagar Chiloda Highway,Indian Inst Publ Hlth Gandhinagar,India,"Senthilkumar, Natesan",2,16,other,Aarthi
Senthilkumar,Natesan,"Senthilkumar, Natesan",Gandhinagar Chiloda Highway,Indian Inst Publ Hlth Gandhinagar,India,"Senthilkumar, Natesan",2,16,leader,Senthilkumar
Kranti Suresh,Vora,"Kranti Suresh, Vora",Bruce,Univ Canberra,Australia,"Senthilkumar, Natesan",2,16,other,Kranti
Shahin,Saiyed,"Shahin, Saiyed",Gandhinagar,Biomac Life Sci Pvt Ltd,India,"Senthilkumar, Natesan",2,16,other,Shahin
Senthilkumar,Natesan,"Senthilkumar, Natesan",Gandhinagar,Biomac Life Sci Pvt Ltd,India,"Senthilkumar, Natesan",2,16,leader,Senthilkumar
Kuldeep,Dhama,"Kuldeep, Dhama",Div Pathol,ICAR Indian Vet Res Inst,India,"Senthilkumar, Natesan",2,16,last,Kuldeep
Ali A,Rabaan,"Ali A, Rabaan",Mol Diagnost Lab,Johns Hopkins Aramco Healthcare,Arabia,"Ali A, Rabaan",6,17,"first, leader",Ali
Shamsah H,Al Ahmed,"Shamsah H, Al Ahmed",Specialty Paediat Med,Qatif Cent Hosp,Arabia,"Ali A, Rabaan",6,17,other,Shamsah
Ranjit,Sah,"Ranjit, Sah",Inst Med,Tribhuvan Univ Teaching Hosp,Nepal,"Ali A, Rabaan",6,17,other,Ranjit
Jaffar A,Al Tawfiq,"Jaffar A, Al Tawfiq",Specialty Internal Med,Johns Hopkins Aramco Healthcare,Arabia,"Ali A, Rabaan",6,17,other,Jaffar
Jaffar A,Al Tawfiq,"Jaffar A, Al Tawfiq",Med,Indiana Univ Sch Med,USA,"Ali A, Rabaan",6,17,other,Jaffar
Jaffar A,Al Tawfiq,"Jaffar A, Al Tawfiq",Sch Med,Johns Hopkins Univ,USA,"Ali A, Rabaan",6,17,other,Jaffar
Alfonso J,Rodriguez Morales,"Alfonso J, Rodriguez Morales",Sch Med,Johns Hopkins Univ,USA,"Ali A, Rabaan",6,17,other,Alfonso
Ayman M,Al Qaaneh,"Ayman M, Al Qaaneh",Inst Res & Med Consultat IRMC,Imam Abdulrahman Bin Faisal Univ,Arabia,"Ali A, Rabaan",6,17,other,Ayman
Ayman M,Al Qaaneh,"Ayman M, Al Qaaneh",Clin Pharm Serv Div,Johns Hopkins Aramco Healthcare,Arabia,"Ali A, Rabaan",6,17,other,Ayman
Lamiaa H,Al Jamea,"Lamiaa H, Al Jamea",Clin Lab Sci,Prince Sultan Mil Coll Hlth Sci,Arabia,"Ali A, Rabaan",6,17,other,Lamiaa
Alexander,Woodman,"Alexander, Woodman",Clin Lab Sci,Prince Sultan Mil Coll Hlth Sci,Arabia,"Ali A, Rabaan",6,17,other,Alexander
Manaf,Al Qahtani,"Manaf, Al Qahtani",Med,Bahrain Def Force Hosp,Bahrain,"Ali A, Rabaan",6,17,other,Manaf
Manaf,Al Qahtani,"Manaf, Al Qahtani",Med,Bahrain Med Univ,Bahrain,"Ali A, Rabaan",6,17,other,Manaf
Shafiul,Haque,"Shafiul, Haque",Coll Nursing & Allied Hlth Sci,Jazan Univ,Arabia,"Ali A, Rabaan",6,17,other,Shafiul
Harapan,Harapan,"Harapan, Harapan",Sch Med,Univ Syiah Kuala,Indonesia,"Ali A, Rabaan",6,17,other,Harapan
Harapan,Harapan,"Harapan, Harapan",Trop Dis Ctr,Univ Syiah Kuala,Indonesia,"Ali A, Rabaan",6,17,other,Harapan
Harapan,Harapan,"Harapan, Harapan",Sch Med,Univ Syiah Kuala,Indonesia,"Ali A, Rabaan",6,17,other,Harapan
D Katterine,Bonilla Aldana,"D Katterine, Bonilla Aldana",Grp Invest BIOECOS,Fdn Univ Autonoma Amer,Colombia,"Ali A, Rabaan",6,17,other,Bonilla
D Katterine,Bonilla Aldana,"D Katterine, Bonilla Aldana",Fac Hlth Sci,Univ Tecnol Pereira,Colombia,"Ali A, Rabaan",6,17,other,Bonilla
Pavan,Kumar,"Pavan, Kumar",Coll Hort & Forestry,Rani Lakshmi Bai Cent Agr Univ,India,"Ali A, Rabaan",6,17,other,Pavan
Kuldeep,Dhama,"Kuldeep, Dhama",Div Pathol,ICAR Indian Vet Res Inst,India,"Ali A, Rabaan",6,17,other,Kuldeep
Alfonso J,Rodriguez Morales,"Alfonso J, Rodriguez Morales",Fac Med,Fdn Univ Autonoma Amer,Colombia,"Ali A, Rabaan",6,17,last,Alfonso
Ivan,Marbaniang,"Ivan, Marbaniang",Byramjee Jeejeebhoy Govt Med Coll,Johns Hopkins Univ,India,"Ivan, Marbaniang",1,22,"first, leader",Ivan
Smita,Nimkar,"Smita, Nimkar",Byramjee Jeejeebhoy Govt Med Coll,Johns Hopkins Univ,India,"Ivan, Marbaniang",1,22,other,Smita
Kanta,Zarekar,"Kanta, Zarekar",Byramjee Jeejeebhoy Govt Med Coll,Johns Hopkins Univ,India,"Ivan, Marbaniang",1,22,other,Kanta
Amol,Chavan,"Amol, Chavan",Byramjee Jeejeebhoy Govt Med Coll,Johns Hopkins Univ,India,"Ivan, Marbaniang",1,22,other,Amol
