full_name,publication_year,team_id,gender
"A, Moser",2000,866,male
"Sebastian, Rodriguez",2007,867,female
"Vincent, Hilaire",2007,867,male
"Abderrafiaa, Koukam",2007,867,female
"Fabian, Gans",2009,868,female
"Aicko Y, Schumann",2009,868,male
"Jan W, Kantelhardt",2009,868,female
"Thomas, Penzel",2009,868,male
"Ingo, Fietze",2009,868,female
"Sodeif, Ahadpour",2014,869,female
"Yaser, Sadra",2014,869,male
"Zahra, ArastehFard",2014,869,female
"Florin, Pop",2012,870,female
"Pascal L R, Van Der Veeken",2008,871,male
"Herman P, Van Leeuwen",2008,871,female
"Jose P, Pinheiro",2008,871,male
"Michail, Kovanis",2016,872,male
"Raphael, Porcher",2016,872,female
"Philippe, Ravaud",2016,872,male
"Ludovic, Trinquart",2016,872,male
"Fouad, Khan",2018,873,female
"Paul, Heinecker",2018,873,male
"Misako, Takayasu",2014,874,female
"Hayafumi, Watanabe",2014,874,female
"Hideki, Takayasu",2014,874,male
"RL, Viana",2005,875,female
"C, Grebogi",2005,875,male
"SED, Pinto",2005,875,female
"SR, Lopes",2005,875,female
"AM, Batista",2005,875,male
"J, Kurths",2005,875,female
"Anna, Kuranova",2020,876,female
"Sanne H, Booij",2020,876,male
"Johanna T W, Wigman",2020,876,female
"Marieke, Wichers",2020,876,male
"Claudia, Menne Lothmann",2020,876,male
"Philippe, Delespaul",2020,876,female
"Bart P F, Rutten",2020,876,male
"Nele, Jacobs",2020,876,male
"Jim, van Os",2020,876,female
"Jeroen, Decoster",2020,876,male
"Ruud, van Winkel",2020,876,female
"Marc, De Hert",2020,876,female
"Catherine, Derom",2020,876,male
"Evert, Thiery",2020,876,female
"Yacov Y, Haimes",2012,877,male
"Emilio, Serrano",2009,878,female
"Juan A, Botia",2009,878,female
"Jorge J, Gomez Sanz",2009,878,male
"Juan, Pavon",2009,878,female
"HS, Ryoo",2005,879,female
"Sheridan, Taylor",2016,880,male
"Roger, Taylor",2016,880,female
"Ping, Liu",2012,881,male
"Shutang, Liu",2012,881,male
"R, Albert",2000,882,female
"AL, Barabasi",2000,882,male
"H, Arrow",2004,883,male
"MS, Poole",2004,883,female
"KB, Henry",2004,883,male
"S, Wheelan",2004,883,female
"R, Moreland",2004,883,female
"Yoshiharu, Mori",2012,884,male
"Yuko, Okamoto",2012,884,female
"Alexandre, Levada",2014,885,male
"FV, Bright",2003,886,female
"CA, Munson",2003,886,female
"A, Iliopoulos",2019,887,male
"D, Chorozoglou",2019,887,female
"C, Kourouklas",2019,887,female
"O, Mangira",2019,887,male
"E, Papadimitriou",2019,887,female
"Angela Weber, Righi",2012,888,male
"Priscila, Wachs",2012,888,male
"Tarcisio Abreu, Saurin",2012,888,female
"Andres, Aragoneses",2013,889,male
"M C, Torrent",2013,889,male
"Cristina, Masoller",2013,889,female
"Nicolas, Rubido",2013,889,male
"Jordi, Tiana Alsina",2013,889,female
"J, Peinke",2004,890,female
"F, Bottcher",2004,890,male
"S, Barth",2004,890,female
"J, Musset",2003,891,male
"M, Rusinowitch",2003,891,female
"RA, Bentley",2001,892,female
"HDG, Maschner",2001,892,male
"Max, Rietkerk",2021,893,female
"Swarnendu, Banerjee",2021,893,female
"Mara, Baudena",2021,893,male
"Robbin, Bastiaansen",2021,893,female
"Johan, van de Koppel",2021,893,male
"Arjen, Doelman",2021,893,male
"Daniel, Krob",2009,894,female
"Simon, Bliudze",2009,894,male
"J, Izquierdo",2004,895,male
"PL, Iglesias",2004,895,female
"Young A, Ji",2018,896,male
"Hong Gee, Kim",2018,896,female
"Se Jin, Nam",2018,896,female
"Jaeil, Lee",2018,896,male
"Soo Kyoung, Lee",2018,896,female
"Rounaq, Nayak",2019,897,male
"Patrick, Waterson",2019,897,female
"RM, Yulmetyev",1999,898,female
"DG, Yulmetyeva",1999,898,male
"Enzo, Tagliazucchi",2016,899,female
"Michael, Siniatchkin",2016,899,female
"Helmut, Laufs",2016,899,male
"Dante R, Chialvo",2016,899,female
"Enrico, Amico",2016,899,male
"Jean Francois, Brichant",2016,899,male
"Vincent, Bonhomme",2016,899,female
"Quentin, Noirhomme",2016,899,male
"Steven, Laureys",2016,899,male
"E, Kolonis",2008,900,female
"M, Nicolaidis",2008,900,male
"EA, Rosa",2005,901,female
"HM, Ramirez",2005,902,female
"CR, Romeva",2005,902,male
"Susan A, Yoon",2020,903,female
"Katherine, Miller",2020,903,male
"Thomas, Richman",2020,903,female
"D, Helbing",2006,904,female
"D, Armbruster",2006,904,male
"AS, Mikhallov",2006,904,female
"E, Lefeber",2006,904,female
"AMJ, SKULIMOWSKI",1992,905,male
"BF, SCHMID",1992,905,female
"Jiri, Bila",2021,906,male
"Ali H, Reshak",2021,906,male
"Jan, Chysky",2021,906,female
"Milad, Hooshyar",2020,907,male
"Amilcare, Porporato",2020,907,male
"Sara, Bonetti",2020,907,female
"Arvind, Singh",2020,907,male
"Efi, Foufoula Georgiou",2020,907,female
"LA, Clark",2001,908,female
"DE, Ellis",2001,908,male
"RQ, Snurr",2001,908,female
"DJ, Andrews",1998,909,male
"Giuliano, Punzo",2020,910,female
"Anurag, Tewari",2020,910,female
"Eugene, Butans",2020,910,male
"Massimiliano, Vasile",2020,910,female
"Alan, Purvis",2020,910,female
"Martin, Mayfield",2020,910,male
"Liz, Varga",2020,910,female
"Robert, Chisholm",2020,911,male
"Steve, Maddock",2020,911,male
"Paul, Richmond",2020,911,female
"Alex, Arenas",2009,912,male
"Yamir, Moreno",2009,912,male
"Sandro, Meloni",2009,912,female
"Marcantonio, Catelani",2019,913,male
"Lorenzo, Ciani",2019,913,female
"Matteo, Venzi",2019,913,female
"Craig, Stow",2007,914,male
"Craig R, Allen",2007,914,female
"Ahjond S, Garmestani",2007,914,male
"Mitch, Chapura",2009,915,female
"Oguz, Bektas",2020,916,female
"Jane, Marshall",2020,916,male
"Jeffrey A, Jones",2020,916,female
"YP, Gunji",1999,917,female
"G, Ito",1999,917,male
"Peng, Wang",2018,918,female
"Maarten L, Wijnants",2018,918,male
"Simone M, Ritter",2018,918,male
"TR, Addis",2002,919,female
"JJT, Addis",2002,919,male
"Thomas Martin, Key",2019,920,male
"Carol, Azab",2019,920,female
"Terry, Clark",2019,920,male
"C, Posadas Castillo",2008,921,female
"R M, Lopez Gutierrez",2008,921,female
"C, Cruz Hernandez",2008,921,male
"Carlos, Cotta",2016,922,female
"Robert, Schaefer",2016,922,male
"Andreas C W, Baas",2007,923,female
"Z, Eisler",2005,924,female
"J, Kertesz",2005,924,male
"SH, Yook",2005,924,female
"AL, Barabasi",2005,924,female
"H, Kano",2005,925,male
"H, Nakata",2005,925,female
"CF, Martin",2005,925,male
"F, Marc",2005,926,male
"A, El Fallah Seghrouchni",2005,926,female
"I, Degirmenciyan Cartault",2005,926,male
"Thomas, Wennekers",2011,927,male
"Eckehard, Olbrich",2011,927,female
"Peter, Achermann",2011,927,male
