full_name,publication_year,team_id,gender,position
"Huang Jianzhi, Huang Jianzhi",2020,467,male,first
"Zhang Huichun, Zhang Huichun",2020,467,female,last
"Sharon, Hammes Schiffer",2020,468,male,first
"XH, Ye",2005,469,male,first
"J, Chu",2005,469,male,other
"YP, Zhuang",2005,469,male,other
"SL, Zhang",2005,469,unknown,last
"SPS, ANDREW",1993,470,unknown,first
"Holger, Hennig",2014,471,unknown,first
"Cliff, Hooker",2013,472,unknown,first
"Yingwei, Zhang",2006,473,unknown,first
"Siying, Zhang",2006,473,unknown,last
"Katie, Moon",2021,474,male,first
"Nicola K, Browne",2021,474,female,last
"Jeffrey W, Bloom",2013,475,female,first
"Y, Nakamori",2000,476,female,first
"Y, Sawaragi",2000,476,male,last
"Antonio M, Lopes",2015,477,unknown,first
"J A, Tenreiro Machado",2015,477,unknown,other
"Alexandra M, Galhano",2015,477,male,last
"Victor, Korotkikh",2008,478,male,first
"Galina, Korotkikh",2008,478,female,last
"XD, Liu",1999,479,male,first
"HW, Ryan",1999,480,female,first
"Diane, Larsen Freeman",2008,481,unknown,first
"Lynne, Cameron",2008,481,male,last
"Yang Yu, Liu",2013,482,unknown,first
"Albert Laszlo, Barabasi",2013,482,male,other
"Jean Jacques, Slotine",2013,482,unknown,last
"Jose Luis, Uso Domenech",2017,483,unknown,first
"Josue, Antonio Nescolarde Selva",2017,483,female,other
"Miguel, Lloret Climent",2017,483,male,last
"Fiona, Polack",2015,484,female,first
"Jose, Evora",2015,485,male,first
"Jose, Juan Hernandez",2015,485,male,other
"Mario, Hernandez",2015,485,female,last
"AV, GaponovGrekhov",1996,486,male,first
"MI, Rabinovich",1996,486,female,last
"N F, Johnson",2006,487,female,first
"D M D, Smith",2006,487,unknown,other
"P M, Hui",2006,487,unknown,last
"V, Basios",2016,488,unknown,first
"S C, Nicolis",2016,488,unknown,other
"J L, Deneubourg",2016,488,unknown,last
"Matthew, Collinson",2014,489,unknown,first
"Kevin, McDonald",2014,489,unknown,other
"David, Pym",2014,489,male,last
"M, Timko",2004,490,unknown,first
"M, Koneracka",2004,490,female,other
"P, Kopcansky",2004,490,male,other
"CN, Ramchand",2004,490,male,other
"L, Vekas",2004,490,male,other
"D, Bica",2004,490,female,last
"V, Grimm",2005,491,unknown,first
"E, Revilla",2005,491,female,other
"U, Berger",2005,491,female,other
"F, Jeltsch",2005,491,female,other
"WM, Mooij",2005,491,female,other
"SF, Railsback",2005,491,unknown,other
"HH, Thulke",2005,491,female,other
"J, Weiner",2005,491,female,other
"T, Wiegand",2005,491,female,other
"DL, DeAngelis",2005,491,female,last
"RO, Dendy",2004,492,unknown,first
"SC, Chapman",2004,492,male,other
"TK, March",2004,492,unknown,last
"Shan, Mei",2015,493,unknown,first
"Narges, Zarrabi",2015,493,male,other
"Michael, Lees",2015,493,female,other
"Peter M A, Sloot",2015,493,female,last
"Matti T J, Heino",2021,494,male,first
"Keegan, Knittle",2021,494,unknown,other
"Nelli, Hankonen",2021,494,unknown,other
"Chris, Noone",2021,494,unknown,other
"Fred, Hasselman",2021,494,female,last
"Ricard, Sole",2008,495,male,first
"Yannick, Joye",2007,496,female,first
"Philip, Van Locke",2007,496,unknown,last
"Christos K, Volos",2019,497,unknown,first
"Sajad, Jafari",2019,497,unknown,other
"Jacques, Kengne",2019,497,male,other
"Jesus M, Munoz Pacheco",2019,497,female,other
"Karthikeyan, Rajagopal",2019,497,female,last
"M, Bozzano",2003,498,female,first
"A, Cavallo",2003,498,male,other
"M, Cifaldi",2003,498,female,other
"L, Valacca",2003,498,unknown,other
"A, Villafiorita",2003,498,female,last
"J A, Betancourt Mar",2016,499,unknown,first
"J M, Nieto Villar",2016,499,female,other
"M, Rodriguez Ricard",2016,499,female,other
"R, Mansilla",2016,499,female,other
"G, Cocho",2016,499,female,last
"A Yu, Aleksandrov",0,500,male,first
"Daniel, Kostic",2018,501,female,first
"HD, Holder",1998,502,male,first
"Venkat, Venkatasubramanian",2011,503,male,first
"Irene, Macaluso",2016,504,female,first
"Carlo, Galiotto",2016,504,unknown,other
"Nicola, Marchetti",2016,504,unknown,other
"Linda, Doyle",2016,504,male,last
"Charles, Rathkopf",2018,505,female,first
"Matthew, Berland",2015,506,male,first
"Uri, Wilensky",2015,506,unknown,last
"M E J, Newman",2011,507,male,first
